polity_name,polity_name_FT,start_year,end_year,comments_ft,polity_code,polity_name_full,polity_code_full,polity_name_FAO,polity_name_source,polity_code_source
Dutch West Indies (Netherland Antilles),Dutch West Indies (Netherland Antilles),1800,1938,"Islands Aruba, Bonaire and Curacao and minor ones",NA,Dutch West Indies (Netherland Antilles),NA,NA,FT,FT
Ecuador,Ecuador,1800,1938,NA,NA,Ecuador,NA,NA,FT,FT
El Salvador,El Salvador,1821,1938,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America,NA,El Salvador,NA,NA,FT,FT
Falkland Islands,Falkland Islands,1833,1938,1816-1833 Argentina,NA,Falkland Islands,NA,NA,FT,FT
French Guiana,French Guiana,1800,1938,NA,NA,French Guiana,NA,NA,FT,FT
Grenada,Grenada,1800,1833,British Windward colony after 1833,NA,Grenada,NA,NA,FT,FT
Guadeloupe,Guadeloupe,1800,1938,NA,NA,Guadeloupe,NA,NA,FT,FT
Guatemala,Guatemala,1821,1938,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America,NA,Guatemala,NA,NA,FT,FT
Haiti,Haiti,1800,1938,NA,NA,Haiti,NA,NA,FT,FT
Honduras,Honduras,1800,1938,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America,NA,Honduras,NA,NA,FT,FT
Jamaica,Jamaica,1800,1938,Including Cayman islands,NA,Jamaica,NA,NA,FT,FT
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)","Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",1800,1938,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another",NA,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",NA,NA,FT,FT
Lower Quebec,Lower Quebec,1800,1866,Joint estimate with Canada,NA,Lower Quebec,NA,NA,FT,FT
Martinique,Martinique,1800,1938,NA,NA,Martinique,NA,NA,FT,FT
Mexico,Mexico,1800,1938,NA,NA,Mexico,NA,NA,FT,FT
New Brunswick,New Brunswick,1800,1866,Joint estimate with Canada,NA,New Brunswick,NA,NA,FT,FT
Newfoundland,Newfoundland,1816,1938,NA,NA,Newfoundland,NA,NA,FT,FT
Nicaragua,Nicaragua,1800,1938,until 1821 Spanish colony; 1821-1823(nominal)  Mexico; 1823-1841 part of  (very loose) Federal Republic Central America,NA,Nicaragua,NA,NA,FT,FT
Nova Scotia  Cape Breton Isl.,Nova Scotia  Cape Breton Isl.,1800,1866,Joint estimate with Canada,NA,Nova Scotia  Cape Breton Isl.,NA,NA,FT,FT
Ontario,Ontario,1800,1866,Joint estimate with Canada,NA,Ontario,NA,NA,FT,FT
Panama,Panama,1906,1938,until 1821 Spanish colony; until 1905 part of Colombia,NA,Panama,NA,NA,FT,FT
Paraguay,Paraguay,1811,1938,NA,NA,Paraguay,NA,NA,FT,FT
Peru,Peru,1825,1938,until 1824 Spanish colony (viceroyalty of Peru),NA,Peru,NA,NA,FT,FT
Prince Edward Island,Prince Edward Island,1800,1866,Joint estimate with Canada,NA,Prince Edward Island,NA,NA,FT,FT
Puerto Rico,Puerto Rico,1800,1938,since 1901 trade of Porto Rico is included in the United States  statistics.,NA,Puerto Rico,NA,NA,FT,FT
St. Lucía,St. Lucía,1800,1838,British Windward colony after 1833,NA,St. Lucía,NA,NA,FT,FT
St Martin and St Barthélemy,St Martin and St Barthélemy,1816,1878,population 1870; 1878-1938 part of Guadaloupe,NA,St Martin and St Barthélemy,NA,NA,FT,FT
St Pierre & Miquelon,St Pierre & Miquelon,1800,1938,NA,NA,St Pierre & Miquelon,NA,NA,FT,FT
St. Vincent,St. Vincent,1800,1833,British Windward colony after 1833,NA,St. Vincent,NA,NA,FT,FT
Trinidad and Tobago,Trinidad and Tobago,1800,1938,Tobago independent colony until 1889,NA,Trinidad and Tobago,NA,NA,FT,FT
Turks and Caicos Islands,Turks and Caicos Islands,1800,1938,NA,NA,Turks and Caicos Islands,NA,NA,FT,FT
United States of America,United States,1800,1938,NA,NA,United States,NA,NA,FT,FT
Vancouver´s Island,Vancouver´s Island,1849,1866,Joint estimate with Canada,NA,Vancouver´s Island,NA,NA,FT,FT
Uruguay,Uruguay,1828,1938,until 1814 Spanish colony (Viceroyalty Rio de la Plata); 1816-1825 Brazil;,NA,Uruguay,NA,NA,FT,FT
Venezuela,Venezuela,1821,1938,until 1821 Spanish colony (viceroyalty New granada),NA,Venezuela,NA,NA,FT,FT
Abu Dhabi,Abu Dhabi,1800,1938,NA,NA,Abu Dhabi,NA,NA,FT,FT
Aden,Aden,1839,1938,NA,NA,Aden,NA,NA,FT,FT
Afghanistan,Afghanistan,1800,1938,NA,NA,Afghanistan,NA,NA,FT,FT
Ajman,Ajman,1800,1938,NA,NA,Ajman,NA,NA,FT,FT
Badakhshan,Badakhshan,1800,1873,1873-1938 Afghanistan; joint estimate with Afghanistan,NA,Badakhshan,NA,NA,FT,FT
Bahrain,Bahrain,1800,1938,NA,NA,Bahrain,NA,NA,FT,FT
Bhutan,Bhutan,1800,1938,NA,NA,Bhutan,NA,NA,FT,FT
Bonin island,Bonin island,1846,1873,1876-1938 Japan; joint estimate with Japan,NA,Bonin island,NA,NA,FT,FT
British Malaya,British Malaya,1922,1938,"Created 1922 unifying Strait Settlements, Federated Malay states and Unfederated Malay States (all Briish colonies or protectorates)",NA,British Malaya,NA,NA,FT,FT
Brunei,Brunei,1800,1938,NA,NA,Brunei,NA,NA,FT,FT
Bukhara,Bukhara,1800,1920,1920-1938 USSR,NA,Bukhara,NA,NA,FT,FT
Burma (Myammar),Burma (Myammar),1800,1938,Joint estimate with India,NA,Burma (Myammar),NA,NA,FT,FT
Sri Lanka,Ceylon (Sri Lanka),1800,1938,NA,NA,Ceylon (Sri Lanka),NA,NA,FT,FT
China,China,1800,1938,NA,NA,China,NA,NA,FT,FT
Danish India,Danish India,1800,1845,1846-1938 British India,NA,Danish India,NA,NA,FT,FT
Dutch East Indies (Indonesia),Dutch East Indies (Indonesia),1800,1938,NA,NA,Dutch East Indies (Indonesia),NA,NA,FT,FT
Federated Malay States,Federated Malay States,1895,1922,1922-1938 British Malaya; Joint estimate with British Malaya,NA,Federated Malay States,NA,NA,FT,FT
Formosa (Taiwan),Formosa (Taiwan),1896,1938,1800-1895 China,NA,Formosa (Taiwan),NA,NA,FT,FT
French India,French India,1800,1938,NA,NA,French India,NA,NA,FT,FT
French Indochina,French Indochina,1887,1938,NA,NA,French Indochina,NA,NA,FT,FT
Fujairah,Fujairah,1886,1938,1816-1886 Sharjah,NA,Fujairah,NA,NA,FT,FT
Herat,Herat,1800,1862,1863-1938 Afghanistan; joint estimate with Afghanistan,NA,Herat,NA,NA,FT,FT
Hong-Kong,Hong-Kong,1841,1938,1816-1839 China,NA,Hong-Kong,NA,NA,FT,FT
India,India,1800,1938,NA,NA,India,NA,NA,FT,FT
Iraq,Iraq,1921,1938,1800-1918 Ottoman Empire,NA,Iraq,NA,NA,FT,FT
Japan,Japan,1800,1938,NA,NA,Japan,NA,NA,FT,FT
Jordan,Jordan,1918,1938,1800-1918 Ottoman Empire; joint estimate with Palestine,NA,Jordan,NA,NA,FT,FT
Khiva,Khiva,1800,1873,1873-1938 Russia and Soviet Union,NA,Khiva,NA,NA,FT,FT
Kiautchou,Kiautchou,1898,1922,1800-1898 and 1922-1938 China; joint estimate with China,NA,Kiautchou,NA,NA,FT,FT
Kokand,Kokand,1800,1883,1873-1938 Russia and Soviet Union,NA,Kokand,NA,NA,FT,FT
Korea,Korea,1800,1938,NA,NA,Korea,NA,NA,FT,FT
Kuwait,Kuwait,1800,1938,population in 1920,NA,Kuwait,NA,NA,FT,FT
Kwang-Chou-Wan,Kwang-Chou-Wan,1898,1938,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China,NA,Kwang-Chou-Wan,NA,NA,FT,FT
Kwantung (Port Arthur),Kwantung (Port Arthur),1898,1938,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan",NA,Kwantung (Port Arthur),NA,NA,FT,FT
Maldive,Maldive,1800,1938,NA,NA,Maldive,NA,NA,FT,FT
Manchukuo,Manchukuo,1932,1938,1800-1932 China,NA,Manchukuo,NA,NA,FT,FT
Mongolia,Mongolia,1911,1938,1800-1911 China,NA,Mongolia,NA,NA,FT,FT
Nepal,Nepal,1800,1938,NA,NA,Nepal,NA,NA,FT,FT
North Yemen,North Yemen,1918,1938,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia,NA,North Yemen,NA,NA,FT,FT
Oman,Oman,1800,1938,NA,NA,Oman,NA,NA,FT,FT
Ottoman Empire/Turkey,Ottoman Empire/Turkey,1800,1938,NA,NA,Ottoman Empire/Turkey,NA,NA,FT,FT
Palestine/Jordan,Palestine/Jordan,1918,1938,population in 1920; 1800-1918 Ottoman Empire,NA,Palestine/Jordan,NA,NA,FT,FT
Persia (Iran),Persia (Iran),1800,1938,NA,NA,Persia (Iran),NA,NA,FT,FT
Philippines,Philippines,1800,1938,NA,NA,Philippines,NA,NA,FT,FT
Portuguese India,Portuguese India,1800,1938,NA,NA,Portuguese India,NA,NA,FT,FT
Quatar,Quatar,1800,1938,1871-1916 Ottoman Empire,NA,Quatar,NA,NA,FT,FT
Ras al Khaimah,Ras al Khaimah,1919,1938,1900-1919 Sharjah,NA,Ras al Khaimah,NA,NA,FT,FT
Sabah (British Borneo),Sabah (British Borneo),1888,1938,1816-1888 Brunei,NA,Sabah (British Borneo),NA,NA,FT,FT
Sarawak,Sarawak,1841,1938,NA,NA,Sarawak,NA,NA,FT,FT
Saudi Arabia,Saudi Arabia,1924,1938,1800-1918 Ottoman Empire,NA,Saudi Arabia,NA,NA,FT,FT
Sharjah,Sharjah,1800,1938,NA,NA,Sharjah,NA,NA,FT,FT
Siam (Thailand),Siam (Thailand),1800,1938,NA,NA,Siam (Thailand),NA,NA,FT,FT
Sikkim,Sikkim,1800,1938,NA,NA,Sikkim,NA,NA,FT,FT
Straits Settlement,Straits Settlement,1826,1922,1922-1938 British Malaya; joint estimate with British Malaya,NA,Straits Settlement,NA,NA,FT,FT
Syria and Lebanon,Syria and Lebanon,1918,1938,population 1919; 1800-1918 Ottoman Empire,NA,Syria and Lebanon,NA,NA,FT,FT
Tibet,Tibet,1800,1938,Estimated inside China,NA,Tibet,NA,NA,FT,FT
Timor,Timor,1800,1938,NA,NA,Timor,NA,NA,FT,FT
Umm al Qawain,Umm al Qawain,1892,1938,NA,NA,Umm al Qawain,NA,NA,FT,FT
Yunnan,Yunnan,1856,1871,1800-1857 and 1872-1938 China; joint estimate with China,NA,Yunnan,NA,NA,FT,FT
Albania,Albania,1913,1938,1800-1913 Ottoman Empire,NA,Albania,NA,NA,FT,FT
Andorra,Andorra,1800,1938,NA,NA,Andorra,NA,NA,FT,FT
Austria,Austria,1918,1938,1800-1918 Austria-Hungary,NA,Austria,NA,NA,FT,FT
Austria-Hungary,Austria-Hungary,1800,1918,NA,NA,Austria-Hungary,NA,NA,FT,FT
Belgium,Belgium,1831,1938,NA,NA,Belgium,NA,NA,FT,FT
Bulgaria,Bulgaria,1878,1938,1800-1878 Ottoman Empire,NA,Bulgaria,NA,NA,FT,FT
Crete,Crete,1898,1913,1800-1897 Ottoman Empire; 1914-1938 Greece,NA,Crete,NA,NA,FT,FT
Cyprus,Cyprus,1879,1938,"1800-1878 Ottoman Empire, then British colony",NA,Cyprus,NA,NA,FT,FT
Czechoslovakia,Czechoslovakia,1918,1937,1800-1918 Austria-Hungary,NA,Czechoslovakia,NA,NA,FT,FT
Denmark,Denmark,1800,1938,NA,NA,Denmark,NA,NA,FT,FT
Dodecanese Is.,Dodecanese Is.,1912,1938,"1800-1912 Ottoman Empire, then Italian colony",NA,Dodecanese Is.,NA,NA,FT,FT
Duchy Modena,Duchy Modena,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Duchy Modena,NA,NA,FT,FT
Duchy Parma,Duchy Parma,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Duchy Parma,NA,NA,FT,FT
Estonia,Estonia,1918,1938,1800-1918 Russia,NA,Estonia,NA,NA,FT,FT
Faroe Is,Faroe Is,1800,1938,NA,NA,Faroe Is,NA,NA,FT,FT
Finland,Finland,1917,1938,1800-1812 Russia,NA,Finland,NA,NA,FT,FT
France,France,1800,1938,NA,NA,France,NA,NA,FT,FT
Germany/Zollverein,Germany/Zollverein,1800,1938,NA,NA,Germany/Zollverein,NA,NA,FT,FT
Gibraltar,Gibraltar,1800,1938,NA,NA,Gibraltar,NA,NA,FT,FT
Iceland,Iceland,1800,1938,NA,NA,Iceland,NA,NA,FT,FT
Ionian islands,Ionian islands,1815,1862,1864-1938 Greece,NA,Ionian islands,NA,NA,FT,FT
Ireland,Ireland,1921,1938,1800-1921 United Kingdom,NA,Ireland,NA,NA,FT,FT
Italy,Italy,1861,1938,NA,NA,Italy,NA,NA,FT,FT
Kingdom Two sicilies,Kingdom Two sicilies,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Kingdom Two sicilies,NA,NA,FT,FT
Latvia,Latvia,1918,1938,1800-1918 Russia,NA,Latvia,NA,NA,FT,FT
Lithuania,Lithuania,1918,1938,1800-1918 Russia,NA,Lithuania,NA,NA,FT,FT
Luxembourg,Luxembourg,1800,1938,NA,NA,Luxembourg,NA,NA,FT,FT
Malta,Malta,1800,1938,NA,NA,Malta,NA,NA,FT,FT
Monaco,Monaco,1800,1938,NA,NA,Monaco,NA,NA,FT,FT
Montenegro,Montenegro,1878,1918,1800-1878 Ottoman Empire; 1918-1938 Yugoslavia,NA,Montenegro,NA,NA,FT,FT
Netherlands,Netherlands,1800,1938,NA,NA,Netherlands,NA,NA,FT,FT
Norway,Norway,1800,1938,NA,NA,Norway,NA,NA,FT,FT
Papal States,Papal States,1800,1870,1871-1938 Italy; joint estimation with Italy,NA,Papal States,NA,NA,FT,FT
Poland,Poland,1918,1938,"1800-1918 divided between  Russia,  Austria-Hungary and  Germany",NA,Poland,NA,NA,FT,FT
Portugal,Portugal,1800,1938,NA,NA,Portugal,NA,NA,FT,FT
Romania,Romania,1859,1938,1800-1876 Ottoman Empire,NA,Romania,NA,NA,FT,FT
Russia/USSR,Russia/USSR,1800,1938,NA,NA,Russia/USSR,NA,NA,FT,FT
Sardinia,Sardinia,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Sardinia,NA,NA,FT,FT
Serbia/Yugoslavia,Serbia/Yugoslavia,1816,1938,1800-1815 Ottoman Empire,NA,Serbia/Yugoslavia,NA,NA,FT,FT
Spain,Spain,1800,1938,NA,NA,Spain,NA,NA,FT,FT
Sweden,Sweden,1800,1938,NA,NA,Sweden,NA,NA,FT,FT
Switzerland,Switzerland,1800,1938,NA,NA,Switzerland,NA,NA,FT,FT
Tuscany,Tuscany,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Tuscany,NA,NA,FT,FT
Two Sicilies,Two Sicilies,1800,1860,1861-1938 Italy; joint estimation with Italy,NA,Two Sicilies,NA,NA,FT,FT
United Kingdom,United Kingdom,1800,1938,NA,NA,United Kingdom,NA,NA,FT,FT
American Samoa,American Samoa,1900,1938,Joint estimate US settlement Oceania,NA,American Samoa,NA,NA,FT,FT
Australia,Australia Commonwealth,1901,1940,NA,NA,Australia Commonwealth,NA,NA,FT,FT
British New Guinea,British New Guinea,1884,1938,Joint estimation british settlement Oceania; since 1905 administered by Australia; now Papua New Guinea,NA,British New Guinea,NA,NA,FT,FT
British settlement Oceania,British settlement Oceania,1839,1938,NA,NA,British settlement Oceania,NA,NA,FT,FT
Caroline Island,Caroline Island,1885,1938,Spanish colony 1885-1899; German 1899-1914; Japan mandate 1914-1938; joint estimation with German colonies Oceania,NA,Caroline Island,NA,NA,FT,FT
Cook Island,Cook Island,1893,1901,1901-1938 New Zealand; Joint estimation New Zealand,NA,Cook Island,NA,NA,FT,FT
Dutch new Guinea,Dutch new Guinea,1898,1938,Present-day Indonesia,NA,Dutch new Guinea,NA,NA,FT,FT
Fiji,Fiji,1874,1938,Joint estimation British settlement Oceania,NA,Fiji,NA,NA,FT,FT
French Settlements in Oceania,French Settlements in Oceania,1844,1938,"Polities included: New Caledonia, Polynesia",NA,French Settlements in Oceania,NA,NA,FT,FT
Gambier Island,Gambier Island,1881,1903,Joint estimation French Settlements Oceania,NA,Gambier Island,NA,NA,FT,FT
German colonies Oceania,German colonies Oceania,1884,1938,1915-1938 mandate Ldn (different colonial powers(,NA,German colonies Oceania,NA,NA,FT,FT
