polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
NA,Canary Islands,Canary Islands,NA,NA,Canary Islands,FT,FT,1800,1938,NA
NA,CapoVerde,CapoVerde,NA,NA,CapoVerde,FT,FT,1800,1938,NA
NA,Ceuta Y Melilla,Ceuta Y Melilla,NA,NA,Ceuta Y Melilla,FT,FT,1800,1938,NA
NA,French Equatorial Africa,French Equatorial Africa,NA,NA,French Equatorial Africa,FT,FT,1910,1938,"Includes present-day Central African republic (colony 1906-1910), Chad (1891-1910), Gabon (protectorate 1839-1885, colony 1885-1910), French Congo (1882-1910)"
NA,French Somaliland,French Somaliland,NA,NA,French Somaliland,FT,FT,1887,1938,NA
NA,French West Africa,French West Africa,NA,NA,French West Africa,FT,FT,1895,1938,"Includes present-day Mauritania, Dahomey (or Benin), French Guinea, Ivory Coast (protectorate since mid 19th century, colony 1889), Mali, Niger  Senegal (colony since mid 19th century), French Sudan, Upper Volta (now Burkina Faso), Niger and Togo (independent polity as German West Africa  until 1914)"
NA,German East Africa (Tanganyika),German East Africa (Tanganyika),NA,NA,German East Africa (Tanganyika),FT,FT,1884,1938,After 1919   British mandate; present-day  Tanzania
NA,German South West Africa,German South West Africa,NA,NA,German South West Africa,FT,FT,1884,1938,After 1919 South African mandate; present day Namibia
NA,German West Africa,German West Africa,NA,NA,German West Africa,FT,FT,1884,1914,After 1919 part of  French West Africa; present-day Togo
NA,Gold Coast,Gold Coast,NA,NA,Gold Coast,FT,FT,1843,1938,1821-1843 and  1866-1874 part of Sierra Leone; present-day Ghana
NA,Italian Libia Cyrenaica (Lybia),Italian Libia Cyrenaica (Lybia),NA,NA,Italian Libia Cyrenaica (Lybia),FT,FT,1911,1938,1800-1910 Ottoman Empire
NA,Italian Somaliland,Italian Somaliland,NA,NA,Italian Somaliland,FT,FT,1908,1938,NA
NA,Mayotte and Noissi-be,Mayotte and Noissi-be,NA,NA,Mayotte and Noissi-be,FT,FT,1843,1914,1914-1938 annexed to Madagascar; estimated jointly with Magadascar
NA,Nyasaland Protectorate (Malawi),Nyasaland Protectorate (Malawi),NA,NA,Nyasaland Protectorate (Malawi),FT,FT,1891,1938,present day Malawi
NA,Orange Free State,Orange Free State,NA,NA,Orange Free State,FT,FT,1848,1900,After 1900 South Africa; jointly estimated South Africa
NA,Rhodesia,Rhodesia,NA,NA,Rhodesia,FT,FT,1890,1938,"Includes Southern Rhodesia (colony 1901 - present-day Zimbabwe), North-Western  Rhodesia (protectorate 1890- present-day Zambia) and North Eastern Rhodesia (protectorate  ca 1900 - present-day Zambia)"
NA,Rwanda and Burundi,Rwanda and Burundi,NA,NA,Rwanda and Burundi,FT,FT,1919,1938,Until 1918 part of German East Africa; thereafter of British East Africa
NA,Spanish Guinea,Spanish Guinea,NA,NA,Spanish Guinea,FT,FT,1858,1938,present-day Equatorial Guinea
NA,St. Helena,St. Helena,NA,NA,St. Helena,FT,FT,1800,1938,NA
NA,Sudan (Anglo-Egyptian),Sudan (Anglo-Egyptian),NA,NA,Sudan (Anglo-Egyptian),FT,FT,1882,1938,Until 1881 formally  belonged to Egypt
NA,Swaziland,Swaziland,NA,NA,Swaziland,FT,FT,1894,1938,NA
NA,Transvaal,Transvaal,NA,NA,Transvaal,FT,FT,1856,1902,After 1900 South Africa; jointly estimated South Africa
NA,Zanzibar,Zanzibar,NA,NA,Zanzibar,FT,FT,1800,1938,British protectorate 1890; present-day Tanzania
NA,British Guiana,British Guiana,NA,NA,British Guiana,FT,FT,1800,1938,"Including Berbice, Demerara and Essequebio (independent colonies 1802-1831); now Guyana"
NA,British Honduras (Belize),British Honduras (Belize),NA,NA,British Honduras (Belize),FT,FT,1800,1938,"quasi independent  until 1862, then British colony. Present-day Belize"
NA,British Columbia,British Columbia,NA,NA,British Columbia,FT,FT,1858,1866,Joint estimate with Canada
NA,Danish Virgin Islands,Danish Virgin Islands,NA,NA,Danish Virgin Islands,FT,FT,1800,1938,NA
NA,Dutch Guayana,Dutch Guayana,NA,NA,Dutch Guayana,FT,FT,1800,1938,present-day Suriname
NA,Dutch West Indies (Netherland Antilles),Dutch West Indies (Netherland Antilles),NA,NA,Dutch West Indies (Netherland Antilles),FT,FT,1800,1938,"Islands Aruba, Bonaire and Curacao and minor ones"
NA,Falkland Islands,Falkland Islands,NA,NA,Falkland Islands,FT,FT,1833,1938,1816-1833 Argentina
NA,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)","Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",NA,NA,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",FT,FT,1800,1938,"in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another"
NA,Lower Quebec,Lower Quebec,NA,NA,Lower Quebec,FT,FT,1800,1866,Joint estimate with Canada
NA,New Brunswick,New Brunswick,NA,NA,New Brunswick,FT,FT,1800,1866,Joint estimate with Canada
NA,Newfoundland,Newfoundland,NA,NA,Newfoundland,FT,FT,1816,1938,NA
NA,Nova Scotia  Cape Breton Isl.,Nova Scotia  Cape Breton Isl.,NA,NA,Nova Scotia  Cape Breton Isl.,FT,FT,1800,1866,Joint estimate with Canada
NA,Ontario,Ontario,NA,NA,Ontario,FT,FT,1800,1866,Joint estimate with Canada
NA,Prince Edward Island,Prince Edward Island,NA,NA,Prince Edward Island,FT,FT,1800,1866,Joint estimate with Canada
NA,St. Lucía,St. Lucía,NA,NA,St. Lucía,FT,FT,1800,1838,British Windward colony after 1833
NA,St Martin and St Barthélemy,St Martin and St Barthélemy,NA,NA,St Martin and St Barthélemy,FT,FT,1816,1878,population 1870; 1878-1938 part of Guadaloupe
NA,St Pierre & Miquelon,St Pierre & Miquelon,NA,NA,St Pierre & Miquelon,FT,FT,1800,1938,NA
NA,St. Vincent,St. Vincent,NA,NA,St. Vincent,FT,FT,1800,1833,British Windward colony after 1833
NA,Vancouver´s Island,Vancouver´s Island,NA,NA,Vancouver´s Island,FT,FT,1849,1866,Joint estimate with Canada
NA,Abu Dhabi,Abu Dhabi,NA,NA,Abu Dhabi,FT,FT,1800,1938,NA
NA,Aden,Aden,NA,NA,Aden,FT,FT,1839,1938,NA
NA,Ajman,Ajman,NA,NA,Ajman,FT,FT,1800,1938,NA
NA,Badakhshan,Badakhshan,NA,NA,Badakhshan,FT,FT,1800,1873,1873-1938 Afghanistan; joint estimate with Afghanistan
NA,Bonin island,Bonin island,NA,NA,Bonin island,FT,FT,1846,1873,1876-1938 Japan; joint estimate with Japan
NA,British Malaya,British Malaya,NA,NA,British Malaya,FT,FT,1922,1938,"Created 1922 unifying Strait Settlements, Federated Malay states and Unfederated Malay States (all Briish colonies or protectorates)"
NA,Brunei,Brunei,NA,NA,Brunei,FT,FT,1800,1938,NA
NA,Bukhara,Bukhara,NA,NA,Bukhara,FT,FT,1800,1920,1920-1938 USSR
NA,Burma (Myammar),Burma (Myammar),NA,NA,Burma (Myammar),FT,FT,1800,1938,Joint estimate with India
NA,China,China,NA,NA,China,FT,FT,1800,1938,NA
NA,Danish India,Danish India,NA,NA,Danish India,FT,FT,1800,1845,1846-1938 British India
NA,Dutch East Indies (Indonesia),Dutch East Indies (Indonesia),NA,NA,Dutch East Indies (Indonesia),FT,FT,1800,1938,NA
NA,Federated Malay States,Federated Malay States,NA,NA,Federated Malay States,FT,FT,1895,1922,1922-1938 British Malaya; Joint estimate with British Malaya
NA,Formosa (Taiwan),Formosa (Taiwan),NA,NA,Formosa (Taiwan),FT,FT,1896,1938,1800-1895 China
NA,French India,French India,NA,NA,French India,FT,FT,1800,1938,NA
NA,French Indochina,French Indochina,NA,NA,French Indochina,FT,FT,1887,1938,NA
NA,Fujairah,Fujairah,NA,NA,Fujairah,FT,FT,1886,1938,1816-1886 Sharjah
NA,Herat,Herat,NA,NA,Herat,FT,FT,1800,1862,1863-1938 Afghanistan; joint estimate with Afghanistan
NA,Hong-Kong,Hong-Kong,NA,NA,Hong-Kong,FT,FT,1841,1938,1816-1839 China
NA,Khiva,Khiva,NA,NA,Khiva,FT,FT,1800,1873,1873-1938 Russia and Soviet Union
NA,Kiautchou,Kiautchou,NA,NA,Kiautchou,FT,FT,1898,1922,1800-1898 and 1922-1938 China; joint estimate with China
NA,Kokand,Kokand,NA,NA,Kokand,FT,FT,1800,1883,1873-1938 Russia and Soviet Union
NA,Korea,Korea,NA,NA,Korea,FT,FT,1800,1938,NA
NA,Kwang-Chou-Wan,Kwang-Chou-Wan,NA,NA,Kwang-Chou-Wan,FT,FT,1898,1938,population in 1926; 1800-1898 and 1922-1938 China; joint estimate with China
NA,Kwantung (Port Arthur),Kwantung (Port Arthur),NA,NA,Kwantung (Port Arthur),FT,FT,1898,1938,"1800-1898  China, 1898-1905 Russia, 1905-1938 Japan"
NA,Maldive,Maldive,NA,NA,Maldive,FT,FT,1800,1938,NA
NA,Manchukuo,Manchukuo,NA,NA,Manchukuo,FT,FT,1932,1938,1800-1932 China
NA,North Yemen,North Yemen,NA,NA,North Yemen,FT,FT,1918,1938,1871-1918 Ottoman Empire; 1918-1938 Included with Saudi Arabia
NA,Ottoman Empire/Turkey,Ottoman Empire/Turkey,NA,NA,Ottoman Empire/Turkey,FT,FT,1800,1938,NA
NA,Palestine/Jordan,Palestine/Jordan,NA,NA,Palestine/Jordan,FT,FT,1918,1938,population in 1920; 1800-1918 Ottoman Empire
NA,Persia (Iran),Persia (Iran),NA,NA,Persia (Iran),FT,FT,1800,1938,NA
NA,Portuguese India,Portuguese India,NA,NA,Portuguese India,FT,FT,1800,1938,NA
NA,Quatar,Quatar,NA,NA,Quatar,FT,FT,1800,1938,1871-1916 Ottoman Empire
NA,Ras al Khaimah,Ras al Khaimah,NA,NA,Ras al Khaimah,FT,FT,1919,1938,1900-1919 Sharjah
NA,Sabah (British Borneo),Sabah (British Borneo),NA,NA,Sabah (British Borneo),FT,FT,1888,1938,1816-1888 Brunei
NA,Sarawak,Sarawak,NA,NA,Sarawak,FT,FT,1841,1938,NA
NA,Sharjah,Sharjah,NA,NA,Sharjah,FT,FT,1800,1938,NA
NA,Siam (Thailand),Siam (Thailand),NA,NA,Siam (Thailand),FT,FT,1800,1938,NA
NA,Sikkim,Sikkim,NA,NA,Sikkim,FT,FT,1800,1938,NA
NA,Straits Settlement,Straits Settlement,NA,NA,Straits Settlement,FT,FT,1826,1922,1922-1938 British Malaya; joint estimate with British Malaya
NA,Syria and Lebanon,Syria and Lebanon,NA,NA,Syria and Lebanon,FT,FT,1918,1938,population 1919; 1800-1918 Ottoman Empire
NA,Tibet,Tibet,NA,NA,Tibet,FT,FT,1800,1938,Estimated inside China
NA,Timor,Timor,NA,NA,Timor,FT,FT,1800,1938,NA
NA,Umm al Qawain,Umm al Qawain,NA,NA,Umm al Qawain,FT,FT,1892,1938,NA
NA,Yunnan,Yunnan,NA,NA,Yunnan,FT,FT,1856,1871,1800-1857 and 1872-1938 China; joint estimate with China
NA,Austria-Hungary,Austria-Hungary,NA,NA,Austria-Hungary,FT,FT,1800,1918,NA
NA,Crete,Crete,NA,NA,Crete,FT,FT,1898,1913,1800-1897 Ottoman Empire; 1914-1938 Greece
NA,Dodecanese Is.,Dodecanese Is.,NA,NA,Dodecanese Is.,FT,FT,1912,1938,"1800-1912 Ottoman Empire, then Italian colony"
NA,Duchy Modena,Duchy Modena,NA,NA,Duchy Modena,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,Duchy Parma,Duchy Parma,NA,NA,Duchy Parma,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,Faroe Is,Faroe Is,NA,NA,Faroe Is,FT,FT,1800,1938,NA
NA,Germany/Zollverein,Germany/Zollverein,NA,NA,Germany/Zollverein,FT,FT,1800,1938,NA
NA,Ionian islands,Ionian islands,NA,NA,Ionian islands,FT,FT,1815,1862,1864-1938 Greece
NA,Kingdom Two sicilies,Kingdom Two sicilies,NA,NA,Kingdom Two sicilies,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,Papal States,Papal States,NA,NA,Papal States,FT,FT,1800,1870,1871-1938 Italy; joint estimation with Italy
NA,Russia/USSR,Russia/USSR,NA,NA,Russia/USSR,FT,FT,1800,1938,NA
NA,Sardinia,Sardinia,NA,NA,Sardinia,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,Serbia/Yugoslavia,Serbia/Yugoslavia,NA,NA,Serbia/Yugoslavia,FT,FT,1816,1938,1800-1815 Ottoman Empire
NA,Tuscany,Tuscany,NA,NA,Tuscany,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,Two Sicilies,Two Sicilies,NA,NA,Two Sicilies,FT,FT,1800,1860,1861-1938 Italy; joint estimation with Italy
NA,British New Guinea,British New Guinea,NA,NA,British New Guinea,FT,FT,1884,1938,Joint estimation british settlement Oceania; since 1905 administered by Australia; now Papua New Guinea
NA,British settlement Oceania,British settlement Oceania,NA,NA,British settlement Oceania,FT,FT,1839,1938,NA
NA,Caroline Island,Caroline Island,NA,NA,Caroline Island,FT,FT,1885,1938,Spanish colony 1885-1899; German 1899-1914; Japan mandate 1914-1938; joint estimation with German colonies Oceania
NA,Cook Island,Cook Island,NA,NA,Cook Island,FT,FT,1893,1901,1901-1938 New Zealand; Joint estimation New Zealand
NA,Dutch new Guinea,Dutch new Guinea,NA,NA,Dutch new Guinea,FT,FT,1898,1938,Present-day Indonesia
NA,French Settlements in Oceania,French Settlements in Oceania,NA,NA,French Settlements in Oceania,FT,FT,1844,1938,"Polities included: New Caledonia, Polynesia"
NA,Gambier Island,Gambier Island,NA,NA,Gambier Island,FT,FT,1881,1903,Joint estimation French Settlements Oceania
NA,German colonies Oceania,German colonies Oceania,NA,NA,German colonies Oceania,FT,FT,1884,1938,1915-1938 mandate Ldn (different colonial powers(
NA,Gilbert and Ellice Island,Gilbert and Ellice Island,NA,NA,Gilbert and Ellice Island,FT,FT,1892,1938,Joint estimation British settlement Oceania
NA,Mariana Island,Mariana Island,NA,NA,Mariana Island,FT,FT,1800,1938,Spanish colony 1800-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
NA,Marquesas Island,Marquesas Island,NA,NA,Marquesas Island,FT,FT,1844,1903,Joint estimation with French settlements Oceania
NA,Marshall Island,Marshall Island,NA,NA,Marshall Island,FT,FT,1874,1938,Spanish colony 1870-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
NA,New Guinea,New Guinea,NA,NA,New Guinea,FT,FT,1884,1938,German colony 1884; Australian mandate 1914-1938; Joint estimation with German colonies Oceania
NA,New Hebrides,New Hebrides,NA,NA,New Hebrides,FT,FT,1906,1938,British-French condominium;  joint estimates British settlement Oceania; present-day Vanuatu
NA,Niue Island,Niue Island,NA,NA,Niue Island,FT,FT,1900,1901,annexed to New Zealand 1901-1938; Joint estimation New Zealand
NA,Palmyra Island,Palmyra Island,NA,NA,Palmyra Island,FT,FT,1889,1912,1862-1898 Hawaii then USA; joint estimate with Hawaii
NA,Pitcairn Island,Pitcairn Island,NA,NA,Pitcairn Island,FT,FT,1839,1938,UK colony; joint estimation British settlement Oceania
NA,Queensland,Queensland,NA,NA,Queensland,FT,FT,1859,1900,Joint estimation with Australia; 1800-1858 part of New South Wales
NA,Society Islands  (Tahiti),Society Islands  (Tahiti),NA,NA,Society Islands  (Tahiti),FT,FT,1844,1903,independent Kingdom to 1844; French protectorate 1844-1881; then French colony joint estimate with French settlement Oceania
NA,South Australia,South Australia,NA,NA,South Australia,FT,FT,1838,1900,Joint estimation with Australia
NA,Tokelau Island,Tokelau Island,NA,NA,Tokelau Island,FT,FT,1877,1938,British colony; administered New Zealand after 1926 Joint estimation with British Settlement Oceania
NA,Tongan Islands,Tongan Islands,NA,NA,Tongan Islands,FT,FT,1800,1938,Quasi independent kingdom; joit estimate with British settlment Oceania
NA,US settlement Oceania,US settlement Oceania,NA,NA,US settlement Oceania,FT,FT,1859,1938,NA
NA,Van Diemen's Land (Tasmania),Van Diemen's Land (Tasmania),NA,NA,Van Diemen's Land (Tasmania),FT,FT,1828,1900,Joint estimation with Australia; 1800-1825 New South Wales;
NA,Victoria,Victoria,NA,NA,Victoria,FT,FT,1853,1900,Joint estimation with Australia; 1800-1852 New South Wales;
NA,Western Australia,Western Australia,NA,NA,Western Australia,FT,FT,1838,1900,Joint estimation with Australia
