polity_code,polity_name,polity_name_full,polity_code_full,polity_name_FAO,polity_name_FT,polity_name_source,polity_code_source,start_year,end_year,Comments FT
SLV,El Salvador,El Salvador,SLV,El Salvador,El Salvador,FAOSTAT,ISO3,NA,NA,NA
ERI,Eritrea,Eritrea,ERI,Eritrea,Eritrea,FAOSTAT,ISO3,1993,NA,NA
EST,Estonia,Estonia,EST,Estonia,Estonia,FAOSTAT,ISO3,1992,NA,NA
ETH,Ethiopia,Ethiopia,ETH,Ethiopia,Ethiopia,FAOSTAT unified (Ethiopia and Ethiopia PDR),ISO3,NA,NA,NA
FJI,Fiji,Fiji,FJI,Fiji,Fiji,FAOSTAT,ISO3,NA,NA,NA
FIN,Finland,Finland,FIN,Finland,Finland,FAOSTAT,ISO3,NA,NA,NA
FRA,France,France,FRA,France,France,FAOSTAT,ISO3,NA,NA,NA
PYF,French Polynesia,French Polynesia,PYF,French Polynesia,NA,FAOSTAT,ISO3,NA,NA,NA
GAB,Gabon,Gabon,GAB,Gabon,NA,FAOSTAT,ISO3,NA,NA,NA
GMB,Gambia,Gambia,GMB,Gambia,Gambia,FAOSTAT,ISO3,NA,NA,NA
GEO,Georgia,Georgia,GEO,Georgia,NA,FAOSTAT,ISO3,1992,NA,NA
DEU,Germany,Germany,DEU,Germany,NA,FAOSTAT,ISO3,NA,NA,NA
GHA,Ghana,Ghana,GHA,Ghana,NA,FAOSTAT,ISO3,NA,NA,NA
GRC,Greece,Greece,GRC,Greece,NA,FAOSTAT,ISO3,NA,NA,NA
GRD,Grenada,Grenada,GRD,Grenada,Grenada,FAOSTAT,ISO3,NA,NA,NA
GTM,Guatemala,Guatemala,GTM,Guatemala,Guatemala,FAOSTAT,ISO3,NA,NA,NA
GIN,Guinea,Guinea,GIN,Guinea,NA,FAOSTAT,ISO3,NA,NA,NA
GNB,Guinea-Bissau,Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,FAOSTAT,ISO3,NA,NA,NA
GUY,Guyana,Guyana,GUY,Guyana,NA,FAOSTAT,ISO3,NA,NA,NA
HTI,Haiti,Haiti,HTI,Haiti,Haiti,FAOSTAT,ISO3,NA,NA,NA
HND,Honduras,Honduras,HND,Honduras,Honduras,FAOSTAT,ISO3,NA,NA,NA
HUN,Hungary,Hungary,HUN,Hungary,NA,FAOSTAT,ISO3,NA,NA,NA
ISL,Iceland,Iceland,ISL,Iceland,Iceland,FAOSTAT,ISO3,NA,NA,NA
IND,India,India,IND,India,India,FAOSTAT,ISO3,NA,NA,NA
IDN,Indonesia,Indonesia,IDN,Indonesia,NA,FAOSTAT,ISO3,NA,NA,NA
IRN,Iran,Iran,IRN,Iran (Islamic Republic of),NA,FAOSTAT shortened,ISO3,NA,NA,NA
IRQ,Iraq,Iraq,IRQ,Iraq,Iraq,FAOSTAT,ISO3,NA,NA,NA
IRL,Ireland,Ireland,IRL,Ireland,Ireland,FAOSTAT,ISO3,NA,NA,NA
ISR,Israel,Israel,ISR,Israel,NA,FAOSTAT,ISO3,NA,NA,NA
ITA,Italy,Italy,ITA,Italy,Italy,FAOSTAT,ISO3,NA,NA,NA
CIV,Ivory Coast,Ivory Coast,CIV,Côte d'Ivoire,NA,FAOSTAT,ISO3,NA,NA,NA
JAM,Jamaica,Jamaica,JAM,Jamaica,Jamaica,FAOSTAT,ISO3,NA,NA,NA
JPN,Japan,Japan,JPN,Japan,Japan,FAOSTAT,ISO3,NA,NA,NA
JOR,Jordan,Jordan,JOR,Jordan,Jordan,FAOSTAT,ISO3,NA,NA,NA
KAZ,Kazakhstan,Kazakhstan,KAZ,Kazakhstan,NA,FAOSTAT,ISO3,1992,NA,NA
KEN,Kenya,Kenya,KEN,Kenya,NA,FAOSTAT,ISO3,NA,NA,NA
KIR,Kiribati,Kiribati,KIR,Kiribati,NA,FAOSTAT,ISO3,NA,NA,NA
KWT,Kuwait,Kuwait,KWT,Kuwait,Kuwait,FAOSTAT,ISO3,NA,NA,NA
KGZ,Kyrgyzstan,Kyrgyzstan,KGZ,Kyrgyzstan,NA,FAOSTAT,ISO3,1992,NA,NA
LAO,Lao,Lao,LAO,Lao People's Democratic Republic,NA,FAOSTAT shortened,ISO3,NA,NA,NA
LVA,Latvia,Latvia,LVA,Latvia,Latvia,FAOSTAT,ISO3,1992,NA,NA
LBN,Lebanon,Lebanon,LBN,Lebanon,NA,FAOSTAT,ISO3,NA,NA,NA
LSO,Lesotho,Lesotho,LSO,Lesotho,NA,FAOSTAT,ISO3,NA,NA,NA
LBR,Liberia,Liberia,LBR,Liberia,Liberia,FAOSTAT,ISO3,NA,NA,NA
LBY,Libya,Libya,LBY,Libya,NA,FAOSTAT,ISO3,NA,NA,NA
LTU,Lithuania,Lithuania,LTU,Lithuania,Lithuania,FAOSTAT,ISO3,1992,NA,NA
