polity_name,polity_code,start_year,end_year,geometry_strategy,proxy_source,notes
British Malaya,BMA-1922-2025,1922,2025,COMBINE_MODERN,modern peninsular Malaysia,
British New Guinea,BNG-1884-2025,1884,2025,COMBINE_MODERN,modern PNG eastern half,
British Protectorate (British Somaliland),BSO-1884-2025,1884,2025,COMBINE_MODERN,modern Somaliland region,
British settlement Oceania,BOC-1839-2025,1839,2025,COMBINE_MODERN,scattered Pacific islands,
Cameroon (Kamerun),CMR-1884-2025,1884,2025,COMBINE_MODERN,modern Cameroon + parts of neighbors,
Dodecanese Is.,DOD-1912-2025,1912,2025,COMBINE_MODERN,modern Dodecanese (GADM Greece L2),
Dutch East Indies (Indonesia),DEI-1800-2025,1800,2025,COMBINE_MODERN,modern Indonesia,
Dutch new Guinea,DUT-1898-2025,1898,2025,COMBINE_MODERN,modern Indonesian Papua,
German East Africa (Tanganyika),GEA-1884-2025,1884,2025,COMBINE_MODERN,modern Tanzania mainland,
German West Africa,GWA-1884-1914,1884,1914,COMBINE_MODERN,modern Togo,
German colonies Oceania,GER-1884-2025,1884,2025,COMBINE_MODERN,scattered Pacific islands,
Gold Coast,GOL-1843-2025,1843,2025,COMBINE_MODERN,modern Ghana,
Italian Libia Cyrenaica (Lybia),ITL-1911-2025,1911,2025,COMBINE_MODERN,modern Libya,
Italian Somaliland,ITS-1908-2025,1908,2025,COMBINE_MODERN,modern southern Somalia,
Manchukuo,MAN-1932-1945,1932,1945,COMBINE_MODERN,modern NE China provinces (GADM L1),
New Guinea,NGN-1884-2025,1884,2025,COMBINE_MODERN,modern PNG northern half,
New Hebrides,NHB-1906-2025,1906,2025,COMBINE_MODERN,modern Vanuatu,
Newfoundland,NFL-1816-2025,1816,2025,COMBINE_MODERN,modern Newfoundland province (GADM L1),
Nyasaland Protectorate (Malawi),NYA-1891-2025,1891,2025,COMBINE_MODERN,modern Malawi,
Rwanda and Burundi,RWB-1919-2025,1919,2025,COMBINE_MODERN,modern Rwanda + Burundi,
Sabah (British Borneo),SAB-1888-2025,1888,2025,COMBINE_MODERN,modern Sabah state (GADM L1),
