Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
2013,Serbia,Turkeys,Rye and products,crops,crops,0.19620161788302,0.223974449638151,0.376425323266285,0.152450873628134,0.404996327838151
1994,Romania,"Cattle, non-dairy",Fodder mix,residues,residues_grazers,16613.570868412,56962.4131749006,67964.5938354217,11002.1806605211,0.161881062471486
2021,Croatia,"Chickens, broilers",Maize and products,crops,crops,105599.750188832,122505.510659898,156820.964349049,34315.4536891507,0.21881930028674
2020,Thailand,Geese,Sugar cane,crops,crops,5.5476261320297,18.8055123119651,21.1951400897565,2.38962777779143,0.112744136989513
2001,Ireland,"Cattle, non-dairy",Soyabean Cake,crops,crops,75294.1428425432,85561.5259574354,95068.3621749283,9506.83621749283,0.1
2017,Germany,"Chickens, broilers","Oilseed Cakes, Other",crops,crops,14099.4069456302,15684.8876747532,17427.652971948,1742.7652971948,0.1
2014,Israel,Pigs,Millet and products,crops,crops,78.8183777002412,89.5154772291212,99.4616413656902,9.94616413656902,0.1
2021,Australia,Horses,Other crop residues,residues,residues,48585.2545626171,54003.6175205081,95247.3234170431,41243.705896535,0.433016954355224
2011,United Kingdom,Sheep,Rye and products,crops,crops,183.121635118926,209.042962464527,232.269958293919,23.2269958293919,0.1
2020,Belgium,Horses,"Fats, Animals, Raw",animals,animals,63.446759241784,79.30844905223,88.1204989469222,8.81204989469222,0.1
2021,Iraq,Camels,"Pulses, Other and products",crops,crops,207.899996070851,220.233046685223,368.32196738547,148.088920700247,0.402063775211277
2013,Portugal,"Cattle, dairy",Sorghum and products,crops,crops,277.23383716015,320.501545849884,356.112828722093,35.6112828722094,0.1
2013,Spain,"Cattle, dairy",Tomatoes and products,crops,crops,314.909852549545,5067.51486861337,5630.57207623708,563.057207623708,0.1
1999,Republic of Korea,Pigs,Rye and products,crops,crops,54620.0035780952,62351.6022580996,69279.5580645551,6927.95580645551,0.1
2021,Bosnia and Herzegovina,Turkeys,Soyabean Cake,crops,crops,46.349388176447,52.669759291417,93.8012381678258,41.1314788764087,0.438496118812609
1984,Australia,Horses,Soyabeans,crops,crops,81.5146382094393,94.7844630342317,105.316070038035,10.5316070038035,0.0999999999999998
2000,Saudi Arabia,Camels,Groundnut Cake,crops,crops,251.018960682352,275.240088467491,348.131439417513,72.8913509500214,0.209378822757238
2013,Ecuador,"Chickens, broilers",Potatoes and products,crops,crops,153.359209671212,675.591232031769,750.656924479744,75.0656924479745,0.1
1962,Latin America Other,Turkeys,Other crop residues,residues,residues,29.992499999303,33.3373471648422,123.757787732717,90.4204405678748,0.730624247769832
1998,Paraguay,"Cattle, non-dairy",Grassland,grass,grass,12087241.9168793,60436209.5843964,60436209.5843964,0,0
2021,Lithuania,"Cattle, non-dairy",DDGS Barley,crops,crops,302.743632123186,329.427238436546,366.030264929496,36.6030264929495,0.1
1977,Trinidad and Tobago,"Chickens, layers",Oats,crops,crops,129.858478672565,149.721535748538,166.35726194282,16.635726194282,0.1
1983,Brazil,Sheep,Soyabean Cake,crops,crops,1180.35016560683,1341.3070063714,1490.34111819045,149.034111819045,0.0999999999999998
2003,United States of America,Horses,Palmkernel Cake,crops,crops,67.665565769311,74.0323476688304,82.2581640764783,8.22581640764784,0.1
1969,Cyprus,Goats,Grassland,grass,grass,263409.231195049,1317046.15597524,1317046.15597524,0,0
1988,France,Rabbits and hares,Peas,crops,crops,1.33557336146438,1.4577842766575,1.61976030739722,0.161976030739722,0.0999999999999997
2019,Uruguay,Pigs,Soyabean Cake,crops,crops,1774.34544911933,2016.30164672651,2240.33516302945,224.033516302946,0.1
2021,Mongolia,Pigs,DDGS,crops,crops,182.733170767575,201.692241465315,224.102490517016,22.4102490517016,0.1
1985,Bolivia,Turkeys,Cottonseed Cake,crops,crops,6.63114057075138,7.42984937899314,8.25538819888127,0.825538819888127,0.1
1991,Greece,"Chickens, broilers",Potatoes and products,crops,crops,3704.44560839561,16319.1436493199,18132.3818325776,1813.23818325776,0.1
1989,Togo,Sheep,"Oilseed Cakes, Other",crops,crops,1.15182092617474,1.28134338686353,1.42371487429281,0.142371487429281,0.1
2001,Venezuela,Rabbits and hares,Straw,residues,residues_grazers,0.116589695145629,0.133169269155488,0.182590880841464,0.0494216116859762,0.270668564926235
2008,Turkey,"Chickens, layers",Cottonseed Cake,crops,crops,88077.2608562754,98686.0065616531,109651.118401837,10965.1118401837,0.1
1998,Estonia,"Chickens, broilers","Oilcrops, Other",crops,crops,416.441745710062,452.695076412786,502.99452934754,50.299452934754,0.1
1985,France,Goats,Molasses,crops,crops,2949.08631046238,3919.05157536529,4354.50175040588,435.450175040587,0.1
2018,Germany,"Chickens, broilers","Cereals, Other",crops,crops,94252.2861690554,108015.226246649,120016.918051833,12001.6918051833,0.1
