area_code,item_cbs_code,physical_ha,harvested_ha
13,2531,1.6,1.6
13,2549,1.3,1.3
13,2551,9.7,9.7
13,2601,9.7,9.7
13,2602,6.3,6.3
13,2605,69,69
13,2612,9.7,9.7
13,2615,60.2,60.2
13,2619,9.7,9.7
13,2620,6.1,6.1
13,2625,9.7,9.7
14,2514,25.1,25.1
14,2532,18.9,18.9
14,2533,46.5,46.5
14,2535,30.6,30.6
14,2536,3594.2,3594.3
14,2546,27.8,27.8
14,2552,8.1,8.1
14,2560,457.4,457.4
14,2615,138.8,138.8
16,328,19640.3,19640.3
16,2511,229013.9,310098.3
16,2513,169.4,169.4
16,2514,312895.1,312895.1
16,2517,12251.4,12251.4
16,2518,68.1,68.1
16,2520,9.2,9.2
16,2531,411614.3,412563.3
16,2532,3.1,3.1
16,2533,24004.3,24004.5
16,2535,11,11
16,2536,80948.2,80948.2
16,2537,8428.2,8428.2
16,2546,54911.3,74671
16,2547,9126.2,9126.2
16,2549,303638.4,303696.5
16,2551,325122.6,325122.6
16,2552,31120,31120.4
16,2555,59231.1,59231.1
16,2557,40.7,40.7
16,2558,264946.1,264946.1
16,2560,39793.8,39855.2
16,2561,35041.8,35041.8
16,2570,9063,9063
16,2601,24902.9,24902.9
16,2602,150365.5,150365.5
16,2605,455730.3,455730.3
16,2611,3950.3,3950.3
16,2612,48394.7,48394.7
16,2613,10963.5,10963.5
16,2614,0.5,0.5
16,2615,46512.4,46528.5
16,2616,9653.3,9653.3
16,2618,13928,13928
16,2620,1.5,1.5
16,2625,296657.9,296657.9
16,2630,3.7,3.7
16,2635,53675.4,53681.8
16,2645,56139.1,56139.1
16,2662,558341.9,558341.9
16,2667,1852,1852
16,2671,37139.8,37144.1
16,2672,176499.2,176499.2
16,2807,5076336,10415228
18,328,0.2,0.2
18,2511,1953.4,1953.4
18,2513,699.6,699.6
18,2514,19221.5,19221.5
18,2515,0.4,0.4
18,2516,0.3,0.3
18,2517,1075.4,1075.4
18,2518,17.2,17.2
18,2520,3696.5,3696.5
18,2531,4720.8,4720.9
18,2532,1.4,1.4
18,2533,68.2,68.2
18,2534,2227.4,2227.4
18,2535,680.4,680.4
18,2536,153,153.2
18,2546,1268.6,1268.6
18,2547,59.8,59.8
18,2549,1937.5,1937.5
18,2551,99.5,99.5
18,2552,4.4,4.4
18,2555,282,282
18,2557,1.2,1.2
18,2558,3652.4,3652.4
18,2560,21.5,21.5
18,2561,8.2,8.2
18,2570,20.4,20.4
18,2601,1.9,1.9
18,2602,0.4,0.4
18,2605,3920.6,3920.6
18,2611,3913.4,3913.4
18,2612,1.2,1.2
18,2613,0.1,0.1
18,2614,3.9,3.9
18,2615,25.3,25.3
18,2617,1225.8,1225.8
18,2618,32,32
18,2625,311.9,311.9
18,2635,112.7,112.7
18,2645,5938,5938
18,2662,69,69
18,2671,129.8,129.8
18,2672,0.1,0.1
18,2807,4737.3,4737.3
19,254,13.6,13.6
