area_code,item_cbs_code,physical_ha,harvested_ha
16,2520,9.2,9.2
16,2531,414353,412563.3
16,2532,3.1,3.1
16,2533,24147.2,24004.5
16,2535,11,11
16,2536,81103.3,80948.2
16,2537,8428.2,8428.2
16,2546,56212.4,74671
16,2547,9260.8,9126.2
16,2549,309272.5,303696.5
16,2551,325291.4,325122.6
16,2552,31412.6,31120.4
16,2555,59720.3,59231.1
16,2557,40.7,40.7
16,2558,267782.5,264946.1
16,2560,39793.8,39855.2
16,2561,35335.8,35041.8
16,2570,9088.8,9063
16,2601,25035.7,24902.9
16,2602,151228.5,150365.5
16,2605,457977.1,455730.3
16,2611,3952.5,3950.3
16,2612,48571.7,48394.7
16,2613,10999.3,10963.5
16,2614,0.5,0.5
16,2615,46724.4,46528.5
16,2616,9653.3,9653.3
16,2618,13992.7,13928
16,2620,1.5,1.5
16,2625,297929.7,296657.9
16,2630,3.7,3.7
16,2635,53675.4,53681.8
16,2645,56439.7,56139.1
16,2662,561507.1,558341.9
16,2667,1861.1,1852
16,2671,37328.3,37144.1
16,2672,176499.2,176499.2
16,2807,5480244,10415228
18,328,0.2,0.2
18,2511,2145.5,1953.4
18,2513,699.6,699.6
18,2514,20251.7,19221.5
18,2515,0.4,0.4
18,2516,0.3,0.3
18,2517,1314.6,1075.4
18,2518,17.2,17.2
18,2520,4365,3696.5
18,2531,5554.1,4720.9
18,2532,29.9,1.4
18,2533,73.2,68.2
18,2534,2260,2227.4
18,2535,680.4,680.4
18,2536,153,153.2
18,2546,2184.3,1268.6
18,2547,420.2,59.8
18,2549,2949.3,1937.5
18,2551,334.3,99.5
18,2552,40.2,4.4
18,2555,342.2,282
18,2557,2.5,1.2
18,2558,3854,3652.4
18,2560,21.5,21.5
18,2561,8.2,8.2
18,2570,20.4,20.4
18,2601,16.9,1.9
18,2602,15.7,0.4
18,2605,5181.9,3920.6
18,2611,4021.5,3913.4
18,2612,2.2,1.2
18,2613,0.1,0.1
18,2614,3.9,3.9
18,2615,31,25.3
18,2617,1313.9,1225.8
18,2618,33.9,32
18,2625,384,311.9
18,2635,112.7,112.7
18,2645,6950.2,5938
18,2662,81.8,69
18,2671,151.6,129.8
18,2672,0.1,0.1
18,2807,23701.8,4737.3
19,254,13.6,13.6
19,328,139840,139411.8
19,2511,297713,202329.4
19,2513,54184.1,54203.4
19,2514,569491.1,419472.7
19,2515,525.7,349.1
19,2516,20171.3,13906.4
19,2518,577030.1,405568.1
19,2520,157125.4,108250.6
19,2531,250463,182184.2
19,2532,34803.4,29135.8
19,2533,1361.4,1094
19,2534,17566.1,17566.1
19,2535,0.6,0.6
19,2536,212659.1,177777.8
19,2537,0.3,0.3
19,2546,139798.8,78410.5
19,2547,7099.5,3684.2
19,2549,30465,13966.2
19,2551,64929.4,53505
19,2552,28000.1,18703.7
19,2555,1792937.7,1176740.1
19,2557,193564.7,129542.5
19,2558,3.5,3.5
19,2560,0.3,0.3
19,2561,23516.6,10106.6
19,2563,1.1,1.1
19,2570,191.5,191.5
19,2601,5648.7,4819
19,2602,8789.5,7294.6
19,2605,52455.1,45385.9
19,2611,50534.5,46187.8
19,2612,4773.2,4394.9
19,2613,508.8,470.4
19,2614,0.2,0.2
