lon,lat,lgp,thermal
13.25,79.75,2.5,10
13.75,79.75,22.2,10
14.75,79.75,12.7,10
15.75,79.75,2.2,10
16.25,79.75,10.6,10
16.75,79.75,16.4,10
17.25,79.75,15.7,10
17.75,79.75,36.8,10
18.75,79.75,36.3,10
19.25,79.75,25,10
19.75,79.75,16.8,10
22.25,79.75,17.7,10
22.75,79.75,29.2,10
23.25,79.75,19.9,10
23.75,79.75,5.9,10
24.25,79.75,2.4,10
24.75,79.75,0,10
25.25,79.75,4.1,10
25.75,79.75,20.5,10
26.25,79.75,23.3,10
92.75,79.75,38,10
94.25,79.75,29.2,10
94.75,79.75,35.6,10
95.25,79.75,29.9,10
95.75,79.75,34.3,10
96.25,79.75,35.9,10
96.75,79.75,31.6,10
97.25,79.75,32.3,10
97.75,79.75,24.9,10
98.25,79.75,25.2,10
98.75,79.75,27.7,10
99.25,79.75,29.7,10
99.75,79.75,43.9,10
-105.25,79.25,0,10
-104.75,79.25,0,10
-104.25,79.25,0,10
-103.75,79.25,0,10
-103.25,79.25,0,10
-92.25,79.25,0,10
-91.75,79.25,0,10
-91.25,79.25,0,10
-90.75,79.25,0,10
-90.25,79.25,0,10
-89.75,79.25,0,10
-89.25,79.25,0,10
-88.75,79.25,0,10
-88.25,79.25,0,10
-87.75,79.25,1.4,10
-87.25,79.25,1.3,10
-86.75,79.25,14.9,10
-86.25,79.25,24.8,10
-85.75,79.25,24.2,10
-85.25,79.25,35.4,10
-84.25,79.25,16.8,10
-83.75,79.25,7.8,10
-83.25,79.25,2.9,10
-82.75,79.25,1.2,10
-82.25,79.25,0,10
-81.75,79.25,3,10
-81.25,79.25,1.6,10
-80.75,79.25,0.8,10
-80.25,79.25,0,10
-79.75,79.25,0,10
-79.25,79.25,0,10
-78.75,79.25,0,10
-78.25,79.25,0,10
-77.75,79.25,0,10
-77.25,79.25,0.7,10
-76.75,79.25,5,10
-76.25,79.25,7.9,10
11.25,79.25,0.3,10
12.25,79.25,0,10
12.75,79.25,0,10
13.25,79.25,1.6,10
13.75,79.25,10.7,10
14.25,79.25,3.3,10
14.75,79.25,0,10
15.25,79.25,5.9,10
15.75,79.25,40.8,10
16.25,79.25,15.5,10
16.75,79.25,0,10
17.25,79.25,2.8,10
17.75,79.25,11.4,10
18.25,79.25,6.1,10
18.75,79.25,23.1,10
23.25,79.25,49.8,10
23.75,79.25,48.2,10
24.25,79.25,38.7,10
94.75,79.25,33.5,10
95.25,79.25,19.9,10
95.75,79.25,9.8,10
96.25,79.25,23.9,10
96.75,79.25,33.5,10
97.25,79.25,41.5,10
97.75,79.25,40.8,10
98.25,79.25,35.2,10
98.75,79.25,26.6,10
101.75,79.25,46.5,10
102.75,79.25,49.4,10
-110.75,78.75,0,10
-103.75,78.75,0,10
-103.25,78.75,0,10
-102.75,78.75,0,10
-102.25,78.75,0,10
-101.75,78.75,0,10
-101.25,78.75,0,10
-100.75,78.75,0,10
-100.25,78.75,0,10
-98.25,78.75,0,10
-97.75,78.75,0,10
-97.25,78.75,0,10
-92.75,78.75,0,10
-92.25,78.75,0,10
-91.75,78.75,0,10
-91.25,78.75,0,10
-90.75,78.75,0,10
-90.25,78.75,1.4,10
-89.75,78.75,0.9,10
-89.25,78.75,1.4,10
-88.75,78.75,10.4,10
-88.25,78.75,6.3,10
-87.75,78.75,9.1,10
-86.75,78.75,15.8,10
-86.25,78.75,13.7,10
-85.75,78.75,15.9,10
-85.25,78.75,4.6,10
-84.75,78.75,13.6,10
-84.25,78.75,13.3,10
-83.75,78.75,12.2,10
-82.75,78.75,14.8,10
-82.25,78.75,3.7,10
-81.75,78.75,7.6,10
-81.25,78.75,1.7,10
-80.75,78.75,0,10
-80.25,78.75,0,10
-79.75,78.75,0,10
-79.25,78.75,0,10
-78.75,78.75,0,10
-78.25,78.75,1.7,10
-77.75,78.75,1.8,10
-77.25,78.75,0,10
-76.75,78.75,0,10
-76.25,78.75,1.3,10
-75.75,78.75,2.6,10
-75.25,78.75,3.8,10
10.75,78.75,0,10
11.75,78.75,0,10
12.25,78.75,0.3,10
12.75,78.75,0,10
13.25,78.75,0,10
13.75,78.75,0,10
14.25,78.75,3.2,10
14.75,78.75,1.4,10
15.75,78.75,22.3,10
16.25,78.75,22.3,10
16.75,78.75,14.9,10
17.25,78.75,2.1,10
17.75,78.75,0.4,10
18.25,78.75,0,10
18.75,78.75,4.2,10
19.25,78.75,11.5,10
19.75,78.75,17,10
20.25,78.75,23.3,10
20.75,78.75,30.3,10
21.25,78.75,31.3,10
100.75,78.75,45.2,10
101.25,78.75,39.6,10
101.75,78.75,38.3,10
102.25,78.75,36,10
102.75,78.75,39.2,10
103.25,78.75,32.5,10
103.75,78.75,36.4,10
104.25,78.75,41.4,10
104.75,78.75,28.6,10
-101.25,78.25,0,10
-100.75,78.25,0,10
-100.25,78.25,0,10
-99.75,78.25,0,10
-97.75,78.25,0,10
-97.25,78.25,0,10
-96.75,78.25,0,10
-96.25,78.25,0,10
-95.75,78.25,0,10
-91.75,78.25,0,10
-91.25,78.25,5.1,10
-90.75,78.25,0.7,10
-89.75,78.25,2.6,10
-88.75,78.25,3.4,10
-87.25,78.25,11.3,10
-86.75,78.25,17.5,10
-86.25,78.25,22.2,10
-85.75,78.25,12.5,10
-85.25,78.25,11.2,10
-84.75,78.25,18.6,10
-84.25,78.25,12.4,10
-83.75,78.25,7.5,10
-83.25,78.25,1.7,10
-82.75,78.25,5.6,10
-82.25,78.25,9.1,10
-81.75,78.25,2.9,10
-81.25,78.25,0,10
-80.75,78.25,0,10
-80.25,78.25,0,10
-79.75,78.25,0,10
-79.25,78.25,0,10
-78.75,78.25,0,10
-78.25,78.25,0,10
-77.75,78.25,0,10
-77.25,78.25,0,10
-76.75,78.25,1.6,10
-76.25,78.25,0.6,10
-75.75,78.25,2.6,10
13.25,78.25,0,10
13.75,78.25,0.9,10
15.75,78.25,19.8,10
16.25,78.25,15.1,10
16.75,78.25,16.2,10
17.25,78.25,12,10
17.75,78.25,17,10
18.25,78.25,13.9,10
18.75,78.25,11.4,10
20.75,78.25,56.2,10
21.25,78.25,42.7,10
21.75,78.25,32.8,10
99.75,78.25,48.9,10
100.25,78.25,49.7,10
100.75,78.25,53.1,10
101.25,78.25,51.1,10
101.75,78.25,51.9,10
102.25,78.25,51.5,10
102.75,78.25,50.6,10
106.25,78.25,0,10
-114.25,77.75,0,10
-112.75,77.75,0,10
-112.25,77.75,0,10
-111.75,77.75,0,10
-111.25,77.75,0,10
-110.75,77.75,0,10
-110.25,77.75,0,10
-105.75,77.75,0,10
-102.25,77.75,0,10
-101.75,77.75,0,10
-101.25,77.75,0,10
-95.75,77.75,0,10
-94.75,77.75,0,10
-94.25,77.75,0,10
-93.75,77.75,0,10
-87.75,77.75,32.1,10
-87.25,77.75,23.1,10
-86.75,77.75,25.2,10
-86.25,77.75,23.8,10
-85.25,77.75,26.9,10
-84.75,77.75,18.6,10
-84.25,77.75,17.2,10
-83.75,77.75,13.1,10
-83.25,77.75,22.6,10
-82.75,77.75,22.6,10
-82.25,77.75,3.7,10
-81.75,77.75,10.8,10
-81.25,77.75,0.5,10
-80.75,77.75,0,10
-80.25,77.75,0,10
-79.75,77.75,0,10
-79.25,77.75,0,10
-78.75,77.75,4,10
-78.25,77.75,13.5,10
13.75,77.75,35.5,10
16.25,77.75,22.9,10
16.75,77.75,23.6,10
17.25,77.75,30,10
17.75,77.75,33.6,10
18.25,77.75,47,10
21.75,77.75,38,10
22.25,77.75,32.8,10
22.75,77.75,31.9,10
23.25,77.75,27.4,10
23.75,77.75,32,10
-119.25,77.25,0,10
-118.75,77.25,0,10
-118.25,77.25,0,10
-117.75,77.25,0,10
-117.25,77.25,0,10
-116.75,77.25,0,10
-116.25,77.25,0,10
-105.25,77.25,0,10
-104.75,77.25,0,10
-90.25,77.25,0,10
-86.75,77.25,15.7,10
-86.25,77.25,16.2,10
-85.75,77.25,24.3,10
-85.25,77.25,19.8,10
-84.75,77.25,19.9,10
-84.25,77.25,20.9,10
-83.75,77.25,17,10
-83.25,77.25,14.9,10
-82.75,77.25,11.5,10
-82.25,77.25,15.4,10
-81.25,77.25,14.2,10
-80.75,77.25,5.9,10
14.75,77.25,34.3,10
15.25,77.25,14.2,10
15.75,77.25,10.2,10
16.25,77.25,25,10
16.75,77.25,16.3,10
17.25,77.25,18.2,10
22.75,77.25,0,10
89.25,77.25,4.4,10
101.75,77.25,62.5,10
102.25,77.25,64,10
102.75,77.25,61.8,10
103.25,77.25,56.2,10
103.75,77.25,57,10
104.25,77.25,60.8,10
104.75,77.25,58.3,10
105.25,77.25,63.2,9
107.25,77.25,41.7,10
-120.25,76.75,0,10
-119.75,76.75,0,10
-119.25,76.75,0,10
-118.75,76.75,0,10
-117.75,76.75,0,10
-117.25,76.75,0,10
-116.75,76.75,0,10
-116.25,76.75,0,10
-114.25,76.75,0,10
-113.75,76.75,0,10
-109.25,76.75,0,10
-108.75,76.75,0,10
-100.75,76.75,0,10
-96.75,76.75,0,10
-96.25,76.75,0,10
-95.75,76.75,0,10
-95.25,76.75,0,10
-94.75,76.75,0,10
-94.25,76.75,0,10
-93.75,76.75,0,10
-90.25,76.75,1.6,10
-89.75,76.75,11.7,10
-89.25,76.75,10.7,10
-88.75,76.75,18.6,10
-88.25,76.75,11.5,10
-87.75,76.75,9,10
-87.25,76.75,4.7,10
-86.75,76.75,5.4,10
-86.25,76.75,7.2,10
-85.75,76.75,0.4,10
-85.25,76.75,6.1,10
-84.75,76.75,10.9,10
-84.25,76.75,12.9,10
-83.75,76.75,9.5,10
-83.25,76.75,15.5,10
-82.75,76.75,7.5,10
-82.25,76.75,5.7,10
-81.75,76.75,10.5,10
-81.25,76.75,3.8,10
-80.75,76.75,4.4,10
-80.25,76.75,0.9,10
-79.75,76.75,4.7,10
-79.25,76.75,13.5,10
-78.75,76.75,18.1,10
