"Crop_name","ISO","Continent","Manure_N_Mg"
"agave","LKA","ASI",0
"agave","LSO","AFR",0
"agave","LTU","EU",0
"agave","LUX","EU",0
"agave","LVA","EU",0
"agave","MAR","AFR",0
"agave","MDA","EUR",0
"agave","MDG","AFR",0
"agave","MDV","ASI",0
"agave","MEX","LAM",736.122289915098
"agave","MKD","EUR",0
"agave","MLI","AFR",0
"agave","MLT","EU",0
"agave","MMR","ASI",0
"agave","MNE","EUR",0
"agave","MNG","ASI",0
"agave","MOZ","AFR",0
"agave","MRT","AFR",0
"agave","MUS","AFR",0
"agave","MWI","AFR",0
"agave","MYS","ASI",0
"agave","NAM","AFR",0
"agave","NCL","OCE",0
"agave","NER","AFR",0
"agave","NGA","AFR",0
"agave","NIC","LAM",221.002806782286
"agave","NLD","EU",0
"agave","NOR","EUR",0
"agave","NPL","ASI",0
"agave","NZL","OCE",0
"agave","OMN","ASI",0
"agave","PAK","ASI",0
"agave","PAN","LAM",0
"agave","PER","LAM",0.162325216900451
"agave","PHL","ASI",69.2621552501054
"agave","PNG","OCE",0
"agave","POL","EU",0
"agave","PRI","LAM",0
"agave","PRK","ASI",0
"agave","PRT","EU",0
"agave","PRY","LAM",0
"agave","PYF","OCE",0
"agave","QAT","ASI",0
"agave","ROU","EU",0
"agave","RoW","ROW",0
"agave","RUS","ASI",0
"agave","RWA","AFR",0
"agave","SAU","ASI",0
"agave","SDN","AFR",0
"agave","SEN","AFR",0
"agave","SGP","ASI",0
"agave","SLB","OCE",0
"agave","SLE","AFR",0
"agave","SLV","LAM",142.990187914113
"agave","SOM","AFR",0
"agave","SRB","EUR",0
"agave","SSD","AFR",0
"agave","STP","AFR",0
"agave","SUR","LAM",0
"agave","SVK","EU",0
"agave","SVN","EU",0
"agave","SWE","EU",0
"agave","SWZ","AFR",0
"agave","SYR","ASI",0
"agave","TCD","AFR",0
"agave","TGO","AFR",0
"agave","THA","ASI",0
"agave","TJK","ASI",0
"agave","TKM","ASI",0
"agave","TLS","ASI",0
"agave","TTO","LAM",0
"agave","TUN","AFR",0
"agave","TUR","EUR",0
"agave","TWN","ASI",0
"agave","TZA","AFR",0
"agave","UGA","AFR",0
"agave","UKR","EUR",0
"agave","URY","LAM",0
"agave","USA","NAM",0.0419425007580802
"agave","UZB","ASI",0
"agave","VCT","LAM",0
"agave","VEN","LAM",0.483836121726129
"agave","VNM","ASI",0
"agave","VUT","OCE",0
"agave","WSM","OCE",0
"agave","YEM","ASI",0
"agave","ZAF","AFR",0
"agave","ZMB","AFR",0
"agave","ZWE","AFR",0
"alfalfa","AFG","ASI",5.88909717796425
"alfalfa","AGO","AFR",0
"alfalfa","ALB","EUR",5361.31462146445
"alfalfa","ARE","ASI",173.426482494625
"alfalfa","ARG","LAM",47461.3206440873
"alfalfa","ARM","ASI",5.69913047330423
"alfalfa","ATG","LAM",0
"alfalfa","AUS","OCE",8415.91218151177
"alfalfa","AUT","EU",70.6250203265355
"alfalfa","AZE","ASI",47.1827802502856
"alfalfa","BDI","AFR",0
"alfalfa","BEL","EU",7.90542404799869
"alfalfa","BEN","AFR",0
"alfalfa","BFA","AFR",0
"alfalfa","BGD","ASI",0
"alfalfa","BGR","EU",1925.44189063751
"alfalfa","BHR","ASI",24.8634453201864
"alfalfa","BHS","LAM",0
"alfalfa","BIH","EUR",373.95206849588
"alfalfa","BLR","EUR",0
"alfalfa","BLZ","LAM",0
"alfalfa","BOL","LAM",30.0204451984885
"alfalfa","BRA","LAM",0.0762329882337887
"alfalfa","BRB","LAM",0
"alfalfa","BRN","ASI",0
"alfalfa","BWA","AFR",0.117433516474573
"alfalfa","CAF","AFR",0
"alfalfa","CAN","NAM",90875.5520175245
"alfalfa","CHE","EUR",0.444490501894965
"alfalfa","CHL","LAM",5659.17557290666
"alfalfa","CHN","ASI",0
"alfalfa","CIV","AFR",0
"alfalfa","CMR","AFR",0
"alfalfa","COD","AFR",0
"alfalfa","COG","AFR",0
"alfalfa","COL","LAM",1.03795072484657
"alfalfa","CPV","AFR",0
"alfalfa","CRI","LAM",0
"alfalfa","CUB","LAM",0
"alfalfa","CYP","EU",39.4638848967583
"alfalfa","CZE","EU",7032.72233100006
"alfalfa","DEU","EU",808.545533393307
"alfalfa","DJI","AFR",0
"alfalfa","DMA","LAM",0
"alfalfa","DNK","EU",481.676653087506
"alfalfa","DOM","LAM",0
"alfalfa","DZA","AFR",21.0870967754321
"alfalfa","ECU","LAM",3.3529783944074
"alfalfa","EGY","AFR",0
"alfalfa","ERI","AFR",0
"alfalfa","ESP","EU",9206.78092153048
"alfalfa","EST","EU",0
"alfalfa","ETH","AFR",0
"alfalfa","FIN","EU",0
"alfalfa","FJI","OCE",0
"alfalfa","FRA","EU",9449.08765418935
"alfalfa","GAB","AFR",0
"alfalfa","GBR","EU",0
"alfalfa","GEO","ASI",0.77676374052131
"alfalfa","GHA","AFR",0
"alfalfa","GIN","AFR",0
"alfalfa","GMB","AFR",0
"alfalfa","GNB","AFR",0
"alfalfa","GRC","EU",64.7285774148275
"alfalfa","GRD","LAM",0
"alfalfa","GTM","LAM",0
"alfalfa","GUY","LAM",0
"alfalfa","HND","LAM",0
"alfalfa","HRV","EU",4824.74609045752
"alfalfa","HTI","LAM",0
"alfalfa","HUN","EU",9772.07592538788
"alfalfa","IDN","ASI",0
"alfalfa","IND","ASI",0
"alfalfa","IRL","EU",0
"alfalfa","IRN","ASI",22362.7613189724
"alfalfa","IRQ","ASI",0.39118137127727
"alfalfa","ISL","EUR",0
"alfalfa","ISR","ASI",4.82950705668055
"alfalfa","ITA","EU",28285.5421534969
"alfalfa","JAM","LAM",0
"alfalfa","JOR","ASI",9.58331204382272
"alfalfa","JPN","ASI",0
"alfalfa","KAZ","ASI",0
"alfalfa","KEN","AFR",0
"alfalfa","KGZ","ASI",0
"alfalfa","KHM","ASI",0
"alfalfa","KIR","OCE",0
"alfalfa","KNA","LAM",0
"alfalfa","KOR","ASI",0
"alfalfa","KWT","ASI",0
"alfalfa","LAO","ASI",0
"alfalfa","LBN","ASI",19.8458975774938
"alfalfa","LBR","AFR",0
"alfalfa","LBY","AFR",0
"alfalfa","LCA","LAM",0
"alfalfa","LKA","ASI",0
"alfalfa","LSO","AFR",2.1216107847681
"alfalfa","LTU","EU",0
"alfalfa","LUX","EU",11.4646841154355
"alfalfa","LVA","EU",0
"alfalfa","MAR","AFR",0
"alfalfa","MDA","EUR",6.97115572996285
"alfalfa","MDG","AFR",0
"alfalfa","MDV","ASI",0
"alfalfa","MEX","LAM",19174.1891351946
"alfalfa","MKD","EUR",745.157574131623
"alfalfa","MLI","AFR",0
"alfalfa","MLT","EU",0
"alfalfa","MMR","ASI",0
"alfalfa","MNE","EUR",646.061198025712
"alfalfa","MNG","ASI",0
