"Name","Reporter","Trade","Imp/Exp","Timeline_Start","Timeline_End","Timeline_Freq","Quality","Info_Format","Scanned","SACO_link"
"Tableau général du commerce et de la navigation (1926)","France","Bilateral","Exp/Imp",1926,1926,1,"Good","year",0,
"Statistical Abstract of the United States: 1878.","United States of America (the)","Bilateral;Total","Exp/Imp",1859,1878,1,"Good","year",0,
"Statistical Abstract of the United States: 1887","United States of America (the)","Bilateral;Total","Exp/Imp",1878,1887,1,"Good","year",0,
"Statistical Abstract of the United States: 1902","United States of America (the)","Bilateral;Total","Exp/Imp",1893,1902,1,"Good","year",0,
"Statistical Abstract of the United States: 1910","United States of America (the)","Total","Exp/Imp",1900,1910,1,"Good","year",0,
"Comercio exterior de la América Latina: Informe sobre el comercio de la América Latina con referencia especial a su comercio con los Estados Unidos.","United States of America (the)","Bilateral;Total","Exp/Imp",1929,1939,1,"Good","year",0,
"Statistical Abstract of Foreign Countries Parts I-III- Statics of Foreign Commerce 1850-1909
","United States of America (the)","Bilateral;Total","Exp/Imp",1896,1906,1,"Good","year",0,
"Historical Statistics of the United States: Colonial Times to 1970.","United States of America (the)","Total","Exp/Imp",1900,1970,1,"Good","year",0,
"Foreign trade","United States of America (the)","Total","Exp/Imp",1860,1940,1,"Good","year",,
"Two Centuries of Bilateral Trade and Gravity Data: 1827-2014","United States of America (the)","Bilateral","Exp/Imp",1827,2014,1,"Good","year",,
,"Canada","Total","Exp/Imp",1867,1913,1,"Good","year",,
"Crook (1997)","China","Total","Exp/Imp",1991,1996,1,"Good","year",,
"Colby et al. (1992)","China","Total","Exp/Imp",1950,1989,1,"Good","year",,
