item_prod_code,item_prod_name,name_biomass,name_biomass_code,equiv,category,bg_biomass_dm_kg_ha,root_shoot_ratio,product_dm_kgfm,residue_dm_kgfm,conventional_dm_kg_ha,organic_dm_kg_ha,gross_energy_product_edible_portion_mj_kgfm,gross_energy_product_residue_mj_kgfm,gross_energy_product_mj_kgfm,gross_energy_residue_mj_kg,product_kg_aerial_biomass_kg,residue_kg_aerial_biomass_fm_kg,residue_kg_product_fm_kg,carcass_to_live_weight,edible_portion,nitrogen_n_kgfm,lipids_g_kgfm,carbohydrates_g_kgfm,calcium_mg_kgfm,vitamin_a_microg_kgfm,edible_dm_kgfm,edible_c_kgfm,edible_n_kgfm,edible_p_kgfm,edible_k_kgfm,non_edible_dm_kgfm,non_edible_c_kgfm,non_edible_n_kgfm,non_edible_p_kgfm,non_edible_k_kgfm,product_n_kgdm,product_p_kgdm,product_k_kgdm,product_c_kgdm,residue_n_kgdm,residue_p_kgdm,residue_k_kgdm,residue_c_kgdm,residue_humified_c_kgc,dm_mg_m3,root_c_kgdm,root_humified_c_kgc,root_mass_c_kgdm,rhizodeposit_mass_c_kgdm,residue_c_n_ratio,root_n_kgdm,gross_energy_roots_mj_kgdm,rhizodeposit_n_kgn_krootn,fiber_g_kgfm,saturated_fatty_acids_g_kgfm,monounsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_g_kgfm,polyunsaturated_fatty_acids_n3_g_kgfm,iron_mg_kgfm,zinc_mg_kgfm,magnesium_mg_kgfm,cadmium_microg_kgfm,vitamin_b12_microg_kgfm,vitamin_d_microg_kgfm,folate_microg_kgfm,vitamin_c_mg_kgfm,vitamin_e_mg_kgfm,flavonoids_mg_kgfm,carotenoids_mg_kgfm
181,"Broad beans and horse beans, dry",Fava bean,181,,Legumes,1500,0.25,0.9153333333333334,0.8859999999999999,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3902442223185971,0.6097557776814029,1.562497899542495,,1,0.0368,20,560,1150,420,,,,,,,,,,,0.04420091324200913,0.005707762557077626,0.01312785388127854,0.46,0.008,0.0015,0.015,0.4374976520928101,0.1153466666666667,,0.7260295876544434,0.1782459207459208,0.4400179319117839,0.2860116557426595,,0.022127197235350858,17.84386275395034,0.7,42,0.5,0.4,2,0,17,7,280,4.39,0,0,780,240,0,175,2
205,Vetches,Vetch,205,Lentils,Legumes,1500,0.2879694022908921,0.9,0.9109999999999999,232.075,873.3382333333333,,,18.7514328,16.0088208,0.4457652303120356,0.5542347696879644,1.243333333333333,,1,0.03822866703848299,18.07027328499721,542.1081985499163,562.186279977691,100.39040713887339,,,,,,,,,,,0.03733333333333333,0.005,0.01044444444444444,0.44,0.008,0.0007777777777777778,0.015,0.4387694772065298,0.1153466666666667,,0.7738499999999999,0.1782459207459208,0.469,0.30485,,0.02107578008915304,17.5728,0.7,130,0,0,0,0,0,25,740,4.49,0,0,0,0,0,300,2.5
176,"Beans, dry",Beans,176,,Legumes,1500,0.2879694022908921,0.983,0.871,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.0304,14,525,130,0,,,,,,,,,,,0.030925737538148524,0.004999194581928661,0.01237109548873536,0.46,0.008,0.0014,0.0114,0.43635,0.1153466666666667,,1.1475,0.1782459207459208,0.459,0.6885,,0.01644402528740914,18.15116234213548,2,44,2.8,1,7,0,51.90000000000001,23,390,4.49,0,0,3080,0,0.5,200,2
195,"Cow peas, dry",Pulses nes,211,Pea,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560.0000000000001,720,420,,,,,,,,,,,0.04704264105246115,0.004999194581928661,0.01237109548873536,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.022380215588948274,17.5728,0.7,85.8,3.3,10.9,16.6,0,62.3,28.1,941.9,4.49,0,0,2607.8,74.5,11.6,300,3.3
197,"Pigeon peas, dry",Pulses nes,211,Pea,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560.0000000000001,720,420,,,,,,,,,,,0.04704264105246115,0.004999194581928661,0.01237109548873536,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.022380215588948274,17.5728,0.7,85.8,3.3,10.9,16.6,0,62.3,28.1,941.9,4.49,0,0,2607.8,74.5,11.6,300,3.3
203,"Bambara beans, dry",Pulses nes,211,Pea,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560.0000000000001,720,420,,,,,,,,,,,0.04704264105246115,0.004999194581928661,0.01237109548873536,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.022380215588948274,17.5728,0.7,85.8,3.3,10.9,16.6,0,62.3,28.1,941.9,4.49,0,0,2607.8,74.5,11.6,300,3.3
211,Other pulses n.e.c.,Pulses nes,211,Pea,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560.0000000000001,720,420,,,,,,,,,,,0.04704264105246115,0.004999194581928661,0.01237109548873536,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.022380215588948274,17.5728,0.7,85.8,3.3,10.9,16.6,0,62.3,28.1,941.9,4.49,0,0,2607.8,74.5,11.6,300,3.3
423,String beans,Pulses nes,211,Pea,Legumes,1500,0.2879694022908921,0.9161666666666667,0.8996666666666666,232.075,873.3382333333333,,,15.8096624,15.8096624,0.3683207693256648,0.6316792306743352,1.715024737352815,,1,0.03456,23,560.0000000000001,720,420,,,,,,,,,,,0.04704264105246115,0.004999194581928661,0.01237109548873536,0.4744444444444445,0.008,0.0007777777777777778,0.015,0.4374976520928101,0.1153466666666667,,0.747070446914437,0.1782459207459208,0.4527699678269315,0.2943004790875055,,0.022380215588948274,17.5728,0.7,85.8,3.3,10.9,16.6,0,62.3,28.1,941.9,4.49,0,0,2607.8,74.5,11.6,300,3.3
122,Sweet potatoes,Sweet potato,122,,Roots and tubers,500,0.15,0.258,0.25,232.075,873.3382333333333,4.165,4.533782400000001,4.242444304,3.51456,0.5300006890008957,0.4699993109991043,0.88679,,0.79,0.00192,6,215,220,6670,,,,,,,,,,,0.006,0.001590909090909091,0.007386363636363636,0.41,0.019,0,0,0.436894362191553,0.1153466666666667,,0.660027,0.1782459207459208,0.4400179319117839,0.220009,,0.012109991042988356,14.05824,0.6,29,0,0,1.3,0.5,7,3,130,21.7,0,0,520,250,40,175,10
116,Potatoes,Potato,116,,Roots and tubers,500,0.15,0.227,0.2,232.075,873.3382333333333,3.713,3.9890256,3.74060256,3.51456,0.5882352941176471,0.4117647058823529,0.7,,0.9,0.004,2,180,90,0,,,,,,,,,,,0.016,0.002247191011235955,0.02471910112359551,0.41,0.019,,,0.4305,0.1153466666666667,,0.660027,0.1782459207459208,0.4400179319117839,0.220009,,0.017235294117647057,17.5728,0.6,17,0.3,0,1.1,0.5,7,4,200,21.7,0,0,160,190,0.6,150,7.5
