polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test,0,0,0,0,0
ERI,Eritrea,175,178,ERI,Eritrea,FALSE,Eritrea,Eritrea,Eritrea,178,Eritrea,232,232,7,TRUE,178,NA,Eastern Africa,1,Eritrea,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
EST,Estonia,63,63,EST,Estonia,TRUE,Estonia,Estonia,Estonia,63,Estonia,233,233,11,TRUE,63,EE,Former USSR,1,Estonia,Eastern and South Eastern Europe,East Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Emerging,Annex_I,FSU,FSU,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
ETH,Ethiopia,234,238,ETH,Ethiopia,FALSE,Ethiopia,Ethiopia,Ethiopia,238,Ethiopia,231,231,7,TRUE,238,NA,Eastern Africa,1,Ethiopia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
FJI,Fiji,66,66,FJI,Fiji,FALSE,Fiji,Fiji,0,66,Fiji,242,242,16,TRUE,66,NA,Oceania,1,Fiji,Australia and Oceania,North America and Oceania,Oceania,Melanesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
FIN,Finland,67,67,FIN,Finland,TRUE,Finland,Finland,Finland,67,Finland,246,246,9,TRUE,67,FI,OECD Europe,1,Finland,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
FRA,France,68,68,FRA,France,TRUE,France,France,France,68,France,251,250,9,TRUE,68,FR,OECD Europe,1,France,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe,#REF!,#REF!,#REF!,#REF!,#REF!
PYF,French Polynesia,70,70,PYF,French Polynesia,FALSE,French Polynesia,French Polynesia,0,70,French Polynesia,258,258,16,TRUE,70,NA,Oceania,1,French Polynesia,Australia and Oceania,North America and Oceania,Oceania,Polynesia,Oceania,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Emerging,Annex_II,Pacific,AUS,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GAB,Gabon,74,74,GAB,Gabon,FALSE,Gabon,Gabon,Gabon,74,Gabon,266,266,6,TRUE,74,NA,Western Africa,1,Gabon,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GMB,Gambia,75,75,GMB,Gambia,FALSE,Gambia,"Gambia, The",0,75,Gambia,270,270,6,TRUE,75,NA,Western Africa,1,Gambia,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
GEO,Georgia,73,73,GEO,Georgia,FALSE,Georgia,Georgia,Georgia,73,Georgia,268,268,11,TRUE,73,NA,Former USSR,1,Georgia,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,FSU,FSU,no_mech,Other,#REF!,#REF!,#REF!,#REF!,#REF!
