polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test
BRB,Barbados,14.0,14.0,BRB,Barbados,FALSE,Barbados,Barbados,,14.0,Barbados,52,52,3,TRUE,14.0,NA,Central America,1.0,Barbados,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
BLR,Belarus,57.0,57.0,BLR,Belarus,FALSE,Belarus,Belarus,Belarus,57.0,Belarus,112,112,11,TRUE,57.0,NA,Former USSR,1.0,Belarus,Central Asia and Russian Federation,South and Central Asia,CAS & Russia,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Emerging,Annex_I,FSU,FSU,mech,Europe
BEL,Belgium,246.0,255.0,BEL,Belgium,TRUE,Belgium,Belgium,Belgium,255.0,Belgium,56,56,9,TRUE,255.0,BE,OECD Europe,1.0,Belgium,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe
BLX,Belgium-Luxembourg,15.0,15.0,BLX,Belgium-Luxembourg,TRUE,Belgium-Luxembourg,,,255.0,Belgium,58,58,9,TRUE,15.0,BE_LU,OECD Europe,1.0,Belgium-Luxemburg,Western Europe,West Europe,Europe,Western Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,Advanced,Annex_I,Western Europe,Europe,mech,Europe
BLZ,Belize,23.0,23.0,BLZ,Belize,FALSE,Belize,Belize,,23.0,Belize,84,84,3,TRUE,23.0,NA,Central America,1.0,Belize,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
BEN,Benin,53.0,53.0,BEN,Benin,FALSE,Benin,Benin,Benin,53.0,Benin,204,204,6,TRUE,53.0,NA,Western Africa,1.0,Benin,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Western Africa,Emerging,Annex_II,Western Africa,SAA,no_mech,Other
BOL,Bolivia,19.0,19.0,BOL,Bolivia (Plurinational State of),FALSE,Bolivia,Bolivia,Bolivia,19.0,Bolivia,68,68,4,TRUE,19.0,NA,South America,1.0,Bolivia (Plurinational State of),Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other
BIH,Bosnia and Herzegovina,77.0,80.0,BIH,Bosnia and Herzegovina,FALSE,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,80.0,Bosnia and Herzegovina,70,70,10,TRUE,80.0,NA,Eastern Europe,1.0,Bosnia and Herzegovina,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe
BWA,Botswana,20.0,20.0,BWA,Botswana,FALSE,Botswana,Botswana,Botswana,20.0,Botswana,72,72,8,TRUE,20.0,NA,Southern Africa,1.0,Botswana,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Southern Africa,Emerging,Annex_II,Southern Africa,SAA,mech,Other
BRA,Brazil,21.0,21.0,BRA,Brazil,FALSE,Brazil,Brazil,Brazil,21.0,Brazil,76,76,4,TRUE,21.0,NA,South America,1.0,Brazil,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,South America - South Cone,LACA,mech,Other
