item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
Areca nuts,226,Nuts and products,2551.0,Primary crops,,,Permanent crops,Nuts nes,,Nuts_nes,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",234,Nuts and products,2551.0,Primary crops,,,Permanent crops,Nuts nes,,Nuts_nes,Treenuts,Treenuts,Vegetables and Fruits,Vegetables and Fruits,1.0,Treenuts,Fruits,c3,per
Soya beans,236,Soyabeans,2555.0,Primary crops,,,Soybeans,Soyabeans,,Soybeans,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Soya bean oil,237,Soyabean Oil,2571.0,Crop products,,,,Soyabean oil,,,,,,,,,,c3,per
"Groundnuts, excluding shelled",242,Groundnuts,2552.0,Primary crops,,,Groundnuts in Shell,"Groundnuts, with shell",,Groundnuts,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Groundnut oil,244,Groundnut Oil,2572.0,Crop products,,,,Peanut oil,,,,,,,,,,c3,per
Coconuts,248,Coconuts,248.0,Primary crops,,,Permanent crops,Coconut,,Woody_other,Oil_Crops_fruits,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
"Coconuts, in shell",249,Coconuts - Incl Copra,2560.0,Primary crops,,,Permanent crops,Coconut,,Woody_other,Oil_Crops_fruits,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
Coconut oil,252,Coconut Oil,2578.0,Crop products,,,,Coconut oil,,,,,,,,,,c3,per
Oil palm fruit,254,"Oil, palm fruit",254.0,Primary crops,,,Permanent crops,Oil palm,,Woody_other,Oil_Crops_palm,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
Palm kernels,256,Palm kernels,2562.0,Primary crops,,,Permanent crops,Oil palm,,,Oil_Crops_palm,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,,c3,per
