item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
range,3002,Grassland,3000.0,Grassland,,,Fodder crops,Grass,,Grass,Cereals,Fodder crops,Fodder crops,Fodder crops,1.0,Fodder crops,COP,,
"Fibre Crops, Fibre Equivalent",1753,,,,,,,,,,,,,,,,,,
,,Scavenging,3500.0,Scavenging,,,,,,,,,,,,,,,
Fallow,3003,Fallow,3003.0,Primary crops,,,,Fallow,,Fallow,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
