Code,Name_biomass,Equiv,Category,BG_Biomass_kgDM_ha,Root_Shoot_ratio,Product_kgDM_kgFM,Residue_kgDM_kgFM,Conventional_kgDM_ha,Organic_kgDM_ha,GE_product_edible_portion_MJ_kgFM,GE_product_residue_MJ_kgFM,GE_product_MJ_kgFM,GE_residue_MJ_kg,kg_product_kg_aerial_biomass,kg_residue_kg_aerial_biomass_FM,kg_residue_kg_product_FM,Carcass_to_LW,Edible_portion,N_kgN_kgFM,Lipids_g_kgFM,Carbohydrates_g_kgFM,Calcium_mg_kgFM,VitaminA_microg_kgFM,Edible_kgDM_kgFM,Edible_kgC_kgFM,Edible_N_kgFM,Edible_kgP_kgFM,Edible_K_kgFM,NonEdible_kgDM_kgFM,NonEdible_kgC_kgFM,NonEdible_kgN_kgFM,NonEdible_kgP_kgFM,NonEdible_kgK_kgFM,Product_kgN_kgDM,Product_kgP_kgDM,Product_kgK_kgDM,Product_kgC_kgDM,Residue_kgN_kgDM,Residue_kgP_kgDM,Residue_kgK_kgDM,Residue_kgC_kgDM,Residue_humified_kgC_kgC,MgDM_m3,Root_kgC_kgDM,Root_humified_kgC_kgC,Root_mass_kgC_kgDM,Rhizodeposits_mass_kgC_kgDM,Residue_C_N,Root_kgN_kgDM,GE_Roots_MJ_kgDM,Rhizodeposits_N_kgN_kgRootN,Fiber_g_kgFM,SFA_g_kgFM,MUFA_g_kgFM,PUFA_g_kgFM,PUFA_n3_g_kgFM,Iron_mg_kgFM,Zinc_mg_kgFM,Magnesium_mg_kgFM,Cadmium_microg_kgFM,VitaminB12_microg_kgFM,VitaminD_microg_kgFM,Folate_microg_kgFM,VitaminC_mg_kgFM,VitaminE_mg_kgFM,Flavonoids_mg_kgFM,Carotenoids_mg_kgFM,
97,Triticale,Wheat,"Cereals, other",,0.2389813181684461,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.646381800000004,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.0160232083458969,11.91240045506257,794.1600303375046,148.90500568828213,0.0,,,,,,,,,,,0.018362954842017266,0.0036561311474898224,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45761311475409844,0.11534666666666667,,0.721765,0.17824592074592077,0.43743333333333334,0.2843316666666667,,0.011519329678907769,17.5728,0.7,105.0,3.0,2.0,8.0,0.0,26.0,25.0,1100.0,33.4,0.0,0.0,740.0,0.0,9.0,250.0,3.5,
101,Canary grass,Wheat,"Cereals, other",,0.2389813181684461,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.646381800000004,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.0160232083458969,11.91240045506257,794.1600303375046,148.90500568828213,0.0,,,,,,,,,,,0.018362954842017266,0.0036561311474898224,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45761311475409844,0.11534666666666667,,0.721765,0.17824592074592077,0.43743333333333334,0.2843316666666667,,0.011519329678907769,17.5728,0.7,130.0,7.1,12.0,32.9,0.0,0.0,30.0,1200.0,33.4,0.0,0.0,550.0,0.0,6.0,300.0,3.0,
108,Cereals nes,Wheat,"Cereals, other",,0.2389813181684461,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.646381800000004,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.0160232083458969,11.91240045506257,794.1600303375046,148.90500568828213,0.0,,,,,,,,,,,0.018362954842017266,0.0036561311474898224,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45761311475409844,0.11534666666666667,,0.721765,0.17824592074592077,0.43743333333333334,0.2843316666666667,,0.011519329678907769,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0.0,31.099999999999998,26.7,1036.5,33.4,0.0,0.0,441.70000000000005,0.0,7.199999999999999,800.0,4.0,
103,"Grain, mixed",Wheat,"Cereals, other",,0.2389813181684461,0.8725833333333333,0.8903750000000001,232.075,873.3382333333333,,,14.911096,15.646381800000004,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.0160232083458969,11.91240045506257,794.1600303375046,148.90500568828213,0.0,,,,,,,,,,,0.018362954842017266,0.0036561311474898224,0.004156529726417103,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45761311475409844,0.11534666666666667,,0.721765,0.17824592074592077,0.43743333333333334,0.2843316666666667,,0.011519329678907769,17.5728,0.7,94.39999999999999,4.2,5.300000000000001,10.2,0.0,31.099999999999998,26.7,1036.5,33.4,0.0,0.0,441.70000000000005,0.0,7.199999999999999,800.0,4.0,
OLD,Oats old,Oats,"Cereals, old",,0.5553175970256022,0.8673333333333333,0.907,232.075,873.3382333333333,,,15.176000000000002,15.9385296,0.33,0.6699999999999999,2.03030303030303,,1.0,0.013414755555555553,71.0,597.9999999999999,796.0,0.0,,,,,,,,,,,0.015466666666666665,0.003666666666666667,0.004,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.47206666666666663,0.11534666666666667,,0.76065,0.17824592074592077,0.461,0.29965,,0.009794,17.5728,0.7,106.0,12.0,22.0,25.0,0.0,47.199999999999996,39.7,1770.0,33.4,0.0,0.0,560.0,0.0,7.0,200.0,3.0,
OLD,Barley old,Wheat,"Cereals, old",,0.28995426390866913,0.885,0.8640000000000001,232.075,873.3382333333333,,,15.626,15.182899200000003,0.34679003739146974,0.6532099626085303,1.8835891812865497,,1.0,0.016480821268153638,12.081911262798636,805.4607508532423,151.02389078498294,0.0,,,,,,,,,,,0.01862239691316795,0.0037872787360674178,0.004456936557556556,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.4467,0.11534666666666667,,0.8085,0.17824592074592077,0.49,0.3185,,0.011030531460096017,17.5728,0.7,148.0,3.0,2.0,7.0,0.0,60.0,33.0,910.0,33.4,0.0,0.0,500.0,100.0,2.0,600.0,5.0,
OLD,Rice old,Rice,"Cereals, old",,0.3036,0.8640000000000001,0.91,232.075,873.3382333333333,,,15.176000000000002,15.991248,0.3,0.7,2.3333333333333335,,1.0,0.011889908256880737,9.0,860.0,100.0,0.0,,,,,,,,,,,0.013761467889908258,0.0011467889908256881,0.0013761467889908255,0.46,0.007,0.0007633587786259543,0.011995637949836423,0.4005357142857143,0.11534666666666667,,0.51315,0.17824592074592077,0.311,0.20215,,0.009028440366972477,17.5728,0.7,18.5,2.1,2.3000000000000003,3.2,0.0,5.0,2.0,130.0,33.4,0.0,0.0,200.0,0.0,3.0,300.0,0.0,
OLD,Wheat old,Wheat,"Cereals, old",3972.0,0.280705015355551,0.879,0.8665,232.075,873.3382333333333,,,15.226831200000001,15.226831200000001,0.2833333333333334,0.7166666666666666,2.5294117647058814,,1.0,0.018458825031724902,12.0,800.0,150.0,0.0,,,,,,,,,,,0.02099980094621718,0.0035144480397353815,0.0040126526216947515,0.46,0.00592,0.0007633587786259543,0.011995637949836423,0.45799749999999995,0.11534666666666667,,0.7656000000000001,0.17824592074592077,0.464,0.30160000000000003,,0.010192610268094867,17.5728,0.7,10.0,6.1,9.8,17.5,0.0,39.0,30.0,1300.0,33.4,0.0,0.0,384.0,0.0,8.100000000000001,900.0,3.0,
OLD,Maize old,Maize,"Cereals, old",,0.33541563587115925,0.862,0.8809999999999999,232.075,873.3382333333333,,,14.438400000000001,15.481636799999999,0.44999999999999996,0.55,1.2222222222222223,,1.0,0.01248,27.0,760.0,120.0,0.0,,,,,,,,,,,0.014477958236658933,0.003062645011600928,0.0036426914153132248,0.44,0.00592,0.0007633587786259543,0.011995637949836423,0.43383888888888894,0.11534666666666667,,0.6798000000000001,0.17824592074592077,0.41200000000000003,0.26780000000000004,,0.009771081206496519,17.5728,0.7,27.0,2.9,3.0,11.0,0.0,26.7,37.3,1210.0,33.4,0.0,0.0,600.0,0.0,18.700000000000003,300.0,3.5,
,Straw,,Cereal residues,,,0.8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00592,0.0007633587786259543,0.011995637949836423,,,,,,,,,,,,,0.0,,0.7,,,,,,,,,,,,,,,,,
