item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Sugar non-centrifugal,2541.0,p2541,p064,"Sugar production, non-centrifugal",tonnes,Crop products,crops,crops,"Sugar, sweeteners",Sugar,Brown sugar,Sugar,MELAZA CAÑA,Other_uses
Sesameseed Oil,2579.0,p2579,p075,Sesameseed Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,"Oilcrops oil, other",Oils,AC. SOJA,Other_uses
Maize Germ Oil,2582.0,p2582,p078,Maize Germ Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Maize germ oil,Oils,AC. SOJA,Other_uses
Olive Oil,2580.0,p2580,p076,Olive Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Olive oil,Olive Oil,AC. SOJA,Other_uses
Coconut Oil,2578.0,p2578,p074,Coconut Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Coconut oil,Oils,AC. SOJA,Other_uses
Soyabean Oil,2571.0,p2571,p067,Soyabean Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Soyabean oil,Oils,AC. SOJA,Other_uses
Palmkernel Oil,2576.0,p2576,p072,Palmkernel Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Palm oil,Palm and Copra Oil,AC. PALMA,Food
Cottonseed Oil,2575.0,p2575,p071,Cottonseed Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,"Oilcrops oil, other",Oils,AC. SOJA,Food
"Oilcrops Oil, Other",2586.0,p2586,p079,"Oilcrops Oil extraction, Other",tonnes,Crop products,crops,crops,Vegetable oils,Oil,"Oilcrops oil, other",Oils,AC. SOJA,Food
Ricebran Oil,2581.0,p2581,p077,Ricebran Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,"Oilcrops oil, other",Oils,AC. SOJA,Food
Groundnut Oil,2572.0,p2572,p068,Groundnut Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Peanut oil,Oils,AC. SOJA,Food
Sunflowerseed Oil,2573.0,p2573,p069,Sunflowerseed Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Oil,Sunflowerseed oil,Oils,AC. GIRASOL,Food
Rape and Mustard Oil,2574.0,p2574,p070,Rape and Mustard Oil extraction,tonnes,Crop products,crops,crops,Vegetable oils,Fruits,"Oilcrops oil, other",Oils,AC. SOJA,Food
Straw,2105.0,#N/A,#N/A,#N/A,tonnes,Crop residues,,residues,Herbaceous crop residues,Straw,Straw,Foragge,PAJA DE CEREALES,Food
Other crop residues,2106.0,#N/A,#N/A,#N/A,tonnes,Crop residues,residues,residues,Herbaceous crop residues,Other crop residues,Other crop residues,Foragge,PAJA DE CEREALES,Food
Firewood,2107.0,p2107,p131,Forestry,tonnes,Crop residues,,,Woody crop residues,Firewood,Average wood,Fuelwood and charcoal,0,Food
Animal draught,4000.0,p4000,p092,Asses husbandry,,Draught,,,,Draught,0,0,0,Feed
Fish meal,2790.0,p2790,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Fish Meal,Fish,PESCADO PROMEDIO,Feed
"Molluscs, Other",2767.0,p2767,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,"Molluscs, Other",Fish,PESCADO PROMEDIO,Feed
Pelagic Fish,2763.0,p2763,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Pelagic Fish,Fish,PESCADO PROMEDIO,Feed
"Fish, Liver Oil",2782.0,p2782,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,"Fish, body oil",Fish,OLEINAS PESCADO,Feed
Cephalopods,2766.0,p2766,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Cephalopods,Fish,PESCADO PROMEDIO,Feed
Crustaceans,2765.0,p2765,p132,Aquaculture,tonnes,Fish,animals,animals,Fish,Aquatic animals,Crustaceans,Fish,PESCADO PROMEDIO,Feed
