Year,area,item_prod,item_cbs,item_cbs_crop,Name_biomass,Product_residue,Prod_ygpit_Mg,Area_ygpit_ha
2014,Ukraine,Blueberries,"Fruits, Other","Fruits, Other",Blueberries,Product,700,150
2001,Panama,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,23665,535
1974,Denmark,Mixed grain,"Cereals, Other","Cereals, Other",Cereals nes,Product,62338,17892
2006,Armenia,Forage products,Other crop residues,Fodder vegetables and roots,"Fodder, other",Residue,0,NA
2019,Yemen,Dates,Dates,Dates,Dates,Product,64375,14765
2021,Lao,"Groundnuts, excluding shelled",Other crop residues,Groundnuts,"Groundnuts, with shell",Residue,113602.90567499996,NA
2013,New Zealand,Apples,Firewood,Apples and products,Apple,Residue,115938.82664957612,NA
1997,Kyrgyzstan,"Other citrus fruit, n.e.c.","Citrus, Other","Citrus, Other",Citrus,Product,800,50
1991,Cambodia,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,24000,2000
1975,Liberia,Bananas,Firewood,Bananas,"Bananas, platains",Residue,94520.25,NA
1996,Denmark,Rape or colza seed,Rape and Mustardseed,Rape and Mustardseed,Rape,Product,251000,106000
1971,USSR,Mixed grain,Straw,"Cereals, Other",Cereals nes,Residue,300129.3900000001,NA
2012,Oman,"Mangoes, guavas and mangosteens",Firewood,"Fruits, Other",Fruits,Residue,3099.0673863842817,NA
2001,Belgium,Mixed grain,Straw,"Cereals, Other",Cereals nes,Residue,1625.5555555555557,NA
2002,Jordan,"Forage and silage, alfalfa",Other crop residues,Fodder legumes,Alfalfa,Residue,0,NA
1999,Colombia,Cabbages,"Vegetables, Other","Vegetables, Other","Cabbage, Broccoli",Product,136754,3773
1972,North Korea,Soya beans,Soyabeans,Soyabeans,Soyabeans,Product,263000,285000
1964,Zambia,Other pulses n.e.c.,Straw,"Pulses, Other and products",Pulses nes,Residue,7779.352208632371,NA
1974,Australia,Rye,Rye and products,Rye and products,Rye,Product,4921,16178
1968,Denmark,Swedes for fodder,Fodder vegetables and roots,Fodder vegetables and roots,Other roots and tubers for fodder,Product,1079174.3780178,28654.3866521862
2015,Guinea-Bissau,Fonio,Other crop residues,"Cereals, Other","Roots, other",Residue,1140.309543837,NA
1988,Madagascar,"Other stimulant, spice and aromatic crops, n.e.c.","Spices, Other","Spices, Other","Spices, Other",Product,15,15
2010,Spain,"Peas, green",Other crop residues,"Vegetables, Other","Pea, green, with pod",Residue,136430.38429999998,NA
1981,South Africa,Sugar cane,Sugar cane,Sugar cane,Sugarcane,Product,19532128,257562
2014,Estonia,Cabbages,Other crop residues,"Vegetables, Other","Cabbage, Broccoli",Residue,17697.928459672836,NA
2011,Bolivia,Unmanufactured tobacco,Tobacco,Tobacco,Tobacco,Product,824.52,1041
2019,Brunei Darussalam,Natural rubber in primary forms,Rubber,Rubber,Rubber,Product,264.69,4196
1988,United States of America,Cherries,Firewood,"Fruits, Other",Cherries,Residue,63388.099886302,NA
1984,Israel,Figs,"Fruits, Other","Fruits, Other",Figs,Product,300,150
1980,Cyprus,"Broad beans and horse beans, green","Vegetables, Other","Vegetables, Other","Pea, green, with pod",Product,1016,83
1993,Bolivia,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,6495,728
1985,Paraguay,"Groundnuts, excluding shelled",Groundnuts,Groundnuts,"Groundnuts, with shell",Product,44183,39100
2016,Panama,Lettuce and chicory,Other crop residues,"Vegetables, Other",Lettuce,Residue,1048.44248,NA
2002,Australia,Rye,Rye and products,Rye and products,Rye,Product,20000,35000
1999,Lao,Watermelons,"Vegetables, Other","Vegetables, Other",Watermelon,Product,18248.6,1307
2017,Algeria,"Forage and silage, alfalfa",Other crop residues,Fodder legumes,Alfalfa,Residue,0,NA
1971,Pakistan,"Walnuts, in shell",Firewood,Nuts and products,Walnut,Residue,14869.574999999995,NA
1981,Tanzania,"Coffee, green",Coffee and products,Coffee and products,Coffee,Product,66441,124000
2009,Germany,Beets for fodder,Other crop residues,Fodder vegetables and roots,Fodder beet,Residue,0,NA
1986,Saint Vincent and the Grenadines,Sweet potatoes,Sweet potatoes,Sweet potatoes,Sweet potato,Product,11802,5600
1975,Puerto Rico,Rice,Straw,Rice and products,Rice,Residue,4976.640000000001,NA
1968,United States of America,Mustard seed,Other crop residues,Rape and Mustardseed,Mustard,Residue,9328.25189856,NA
1963,United Kingdom,"Onions and shallots, dry (excluding dehydrated)",Other crop residues,Onions,Onion,Residue,39761.048631976126,NA
1966,Rwanda,Plantains and cooking bananas,Firewood,Plantains,"Bananas, platains",Residue,1710780.7499999998,NA
1978,Czechoslovakia,Unmanufactured tobacco,Other crop residues,Tobacco,Tobacco,Residue,1751.456,NA
1977,Philippines,"Agave fibres, raw, n.e.c.","Hard Fibres, Other","Hard Fibres, Other","Fibres, other",Product,2680,2630
2008,Antigua and Barbuda,Eggplants (aubergines),"Vegetables, Other","Vegetables, Other",Aubergine,Product,357.26,53
2019,Indonesia,"Mangoes, guavas and mangosteens","Fruits, Other","Fruits, Other",Fruits,Product,3294817,252676
1998,Zambia,Tomatoes,Tomatoes and products,Tomatoes and products,Tomato,Product,22000,2200
1961,Ecuador,"Seed cotton, unginned",Other crop residues,Seed cotton,Seed cotton,Residue,6932.875414012739,NA
