original_name,polity_code,start_year,end_year
Serbia,SRB-2008-,2008,2025
South Sudan,SSD-2011-,2011,2025
Suriname,SUR-1975-,1975,2025
Slovakia,SVK-1993-,1993,2025
Slovenia,SVN-1992-,1992,2025
Sweden,SWE-1905-,1905,2025
Eswatini,SWZ-1968-,1968,2025
Syrian Arab Republic,SYR-1967-,1967,2025
Chad,TCD-1960-,1961,2025
Togo,TGO-1960-,1961,2025
Siam (Thailand),THA--1893,1800,1893
Thailand,THA-1909-,1961,2025
Tajikistan,TJK-1991-,1991,2025
Turkmenistan,TKM-1991-,1991,2025
Timor-Leste,TLS-2002-,2002,2025
Transvaal,TRA--1910,1856,1902
Trinidad and Tobago,TTO-1962-,1962,2025
Tunisia,TUN-1956-,1956,2025
Ottoman Empire/Turkey,TUR--1912,1800,1912
Türkiye,TUR-1920-,1961,2025
"China, Taiwan Province of",TWN-1949-,1961,2025
"Taiwan, Province of China",TWN-1949-,1970,2025
"Tanzania, United Republic of",TZA-1964-,1970,2025
United Republic of Tanzania,TZA-1964-,1964,2025
Uganda,UGA-1962-,1962,2025
Ukraine,UKR-2014-,2014,2025
Uruguay,URY--,1828,2025
United States,USA--1959,1800,1938
United States of America,USA-1959-,1961,2025
Uzbekistan,UZB-1991-,1991,2025
Venezuela,VEN--,1821,1938
Venezuela (Bolivarian Republic of),VEN--,1961,2025
"Venezuela, Bolivarian Republic of",VEN--,1970,2025
Viet Nam,VNM-1975-,1975,2025
Yemen,YEM-2000-,2000,2025
South Africa,ZAF-1910-,1910,2025
Zambia,ZMB-1964-,1964,2025
Zimbabwe,ZWE-1965-,1965,2025
