original_name,polity_name,polity_code
China (1949-1950),China (1949-1950),CHN-1949-1950
China (to 1895),China (to 1895),CHN-1800-1895
Colombia,Colombia,COL-1922-2025
Colombia (1903-1922),Colombia (1903-1922),COL-1903-1922
Colombia (to 1903),Colombia (to 1903),COL-1800-1903
Comoros,Comoros,COM-1975-2025
Congo,Congo,COG-1960-2025
"Congo, Democratic Republic of (Zaire)",Democratic Republic of the Congo,COD-1960-2025
Costa Rica,Costa Rica,CRI-1800-2025
Cote D'Ivoire,Côte d'Ivoire,CIV-1960-2025
Croatia,Croatia,HRV-1992-2025
Cuba,Cuba,CUB-1800-2025
Cyprus,Cyprus,CYP-1879-2025
Czech Republic,Czechia,CZE-1993-2025
Czechoslovakia (1918-1938),Czechoslovakia (1918-1938),F51-1918-1938
Czechoslovakia (1938-1945),Czechoslovakia (1938-1945),F51-1938-1945
Czechoslovakia (1945-1947),Czechoslovakia (1945-1947),F51-1945-1947
Czechoslovakia (1947-1992),Czechoslovakia (1947-1993),F51-1947-1993
Denmark,Denmark,DNK-1920-2025
Denmark (to 1920),Denmark (to 1920),DNK-1800-1920
Djibouti,Djibouti,DJI-1977-2025
Dominican Republic,Dominican Republic,DOM-1800-2025
East Timor,Timor-Leste,TLS-1800-2025
Ecuador,Ecuador,ECU-1942-2025
Ecuador (to 1942),Ecuador (to 1942),ECU-1800-1942
Egypt,Egypt,EGY-1979-2025
Egypt (1922-1925),Egypt (1922-1925),EGY-1922-1925
Egypt (1925-1967),Egypt (1925-1967),EGY-1925-1967
Egypt (1967-1979),Egypt (1967-1979),EGY-1967-1979
El Salvador,El Salvador,SLV-1821-2025
Equatorial Guinea,Equatorial Guinea,GNQ-1968-2025
Eritrea,Eritrea,ERI-1882-2025
Estonia,Estonia,EST-1991-2025
Estonia (1918-1940),Estonia (1918-1940),EST-1918-1940
Ethiopia,Ethiopia,ETH-1993-2025
Ethiopia (1889-1897),Ethiopia (1889-1897),ETH-1889-1897
Ethiopia (1897-1902),Ethiopia (1897-1902),ETH-1897-1902
Ethiopia (1902-1907),Ethiopia (1902-1907),ETH-1902-1907
Ethiopia (1907-1952),Ethiopia (1907-1952),ETH-1907-1952
Ethiopia (1952-1993),Ethiopia (1952-1993),ETH-1952-1993
Ethiopia (to 1889),Ethiopia (to 1889),ETH-1800-1889
Fiji,Fiji,FJI-1874-2025
Finland,Finland,FIN-1940-2025
Finland (1917-1940),Finland (1917-1940),FIN-1917-1940
France,France,FRA-1919-2025
France (to 1919),France (to 1919),FRA-1800-1919
Gabon,Gabon,GAB-1960-2025
Gambia,Gambia,GMB-1800-2025
Georgia,Georgia,GEO-1991-2025
German Democratic Republic (1949-1990),East Germany,F77-1949-1990
German Federal Republic,Germany,DEU-1990-2025
German Federal Republic (1949-1990),West Germany,F78-1949-1990
Germany (Prussia) (1919-1920),Germany (1919-1920),DEU-1919-1920
Germany (Prussia) (1920-1938),Germany (1920-1938),DEU-1920-1938
Germany (Prussia) (1938-1945),Germany (1938-1945),DEU-1938-1945
Germany (Prussia) (to 1919),Germany (to 1919),DEU-1800-1919
Ghana,Ghana,GHA-1957-2025
Greece,Greece,GRC-1919-2025
Greece (1913-1919),Greece (1913-1919),GRC-1913-1919
Greece (to 1913),Greece (to 1913),GRC-1800-1913
Guatemala,Guatemala,GTM-1821-2025
Guinea,Guinea,GIN-1958-2025
Guinea-Bissau,Guinea-Bissau,GNB-1879-2025
Guyana,Guyana,GUY-1800-2025
Haiti,Haiti,HTI-1800-2025
Honduras,Honduras,HND-1800-2025
Hungary,Hungary,HUN-1947-2025
Hungary (1918-1919),Hungary (1918-1919),HUN-1918-1919
Hungary (1919-1920),Hungary (1919-1920),HUN-1919-1920
Hungary (1920-1938),Hungary (1920-1938),HUN-1920-1938
Hungary (1938-1947),Hungary (1938-1947),HUN-1938-1947
Iceland,Iceland,ISL-1800-2025
India,India,IND-1949-2025
India (1947-1949),India (1947-1949),IND-1947-1949
Indonesia,Indonesia,IDN-2002-2025
