polity_name,start_year,end_year,population,notes
Yunnan,1856,1871,NA,1800-1857 and 1872-1938 China; joint estimate with China
Albania,1913,1938,800,1800-1913 Ottoman Empire
Andorra,1800,1938,5,NA
Austria,1918,1938,6767,1800-1918 Austria-Hungary
Austria-Hungary,1800,1918,52786,NA
Belgium,1831,1938,7605,NA
Bulgaria,1878,1938,4828,1800-1878 Ottoman Empire
Crete,1898,1913,310,1800-1897 Ottoman Empire; 1914-1938 Greece
Cyprus,1879,1938,286,"1800-1878 Ottoman Empire, then British colony"
Czechoslovakia,1918,1937,13245,1800-1918 Austria-Hungary
Denmark,1800,1938,2983,NA
Dodecanese Is.,1912,1938,NA,"1800-1912 Ottoman Empire, then Italian colony"
Duchy Modena,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
Duchy Parma,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
Estonia,1918,1938,986,1800-1918 Russia
Faroe Is,1800,1938,18,NA
Finland,1917,1938,3027,1800-1812 Russia
France,1800,1938,39771,NA
Germany/Zollverein,1800,1938,66978,NA
Gibraltar,1800,1938,18,NA
Iceland,1800,1938,88,NA
Ionian islands,1815,1862,NA,1864-1938 Greece
Ireland,1921,1938,4346,1800-1921 United Kingdom
Italy,1861,1938,35355,NA
Kingdom Two sicilies,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
Latvia,1918,1938,2552,1800-1918 Russia
Lithuania,1918,1938,2916,1800-1918 Russia
Luxembourg,1800,1938,260,NA
Malta,1800,1938,212,NA
Monaco,1800,1938,23,NA
Montenegro,1878,1918,516,1800-1878 Ottoman Empire; 1918-1938 Yugoslavia
Netherlands,1800,1938,6164,NA
Norway,1800,1938,2447,NA
Papal States,1800,1870,NA,1871-1938 Italy; joint estimation with Italy
Poland,1918,1938,28300,"1800-1918 divided between  Russia,  Austria-Hungary and  Germany"
Portugal,1800,1938,5972,NA
Romania,1859,1938,7656,1800-1876 Ottoman Empire
Russia/USSR,1800,1938,162352,NA
Sardinia,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
Serbia/Yugoslavia,1816,1938,4796,1800-1815 Ottoman Empire
Spain,1800,1938,20263,NA
Sweden,1800,1938,5621,NA
Switzerland,1800,1938,3864,NA
Tuscany,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
Two Sicilies,1800,1860,NA,1861-1938 Italy; joint estimation with Italy
United Kingdom,1800,1938,NA,NA
American Samoa,1900,1938,NA,Joint estimate US settlement Oceania
Australia Commonwealth,1901,1940,4821,NA
British New Guinea,1884,1938,NA,Joint estimation british settlement Oceania; since 1905 administered by Australia; now Papua New Guinea
British settlement Oceania,1839,1938,358,NA
Caroline Island,1885,1938,NA,Spanish colony 1885-1899; German 1899-1914; Japan mandate 1914-1938; joint estimation with German colonies Oceania
Cook Island,1893,1901,NA,1901-1938 New Zealand; Joint estimation New Zealand
Dutch new Guinea,1898,1938,NA,Present-day Indonesia
Fiji,1874,1938,NA,Joint estimation British settlement Oceania
French Settlements in Oceania,1844,1938,31,"Polities included: New Caledonia, Polynesia"
Gambier Island,1881,1903,NA,Joint estimation French Settlements Oceania
German colonies Oceania,1884,1938,570,1915-1938 mandate Ldn (different colonial powers(
Gilbert and Ellice Island,1892,1938,NA,Joint estimation British settlement Oceania
Mariana Island,1800,1938,NA,Spanish colony 1800-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Marquesas Island,1844,1903,NA,Joint estimation with French settlements Oceania
Marshall Island,1874,1938,NA,Spanish colony 1870-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Midway Island,1859,1938,NA,Joint estimation with US Settlement Oceania
Nauru,1888,1938,NA,British-Australian mandate 1914-1938; Joint estimation with German colonies Oceania
New Caledonia,1853,1938,NA,Joint estimation with French settlements Oceania
New Guinea,1884,1938,NA,German colony 1884; Australian mandate 1914-1938; Joint estimation with German colonies Oceania
New Hebrides,1906,1938,NA,British-French condominium;  joint estimates British settlement Oceania; present-day Vanuatu
