polity_name,start_year,end_year,area
Lithuania,1991,NA,64725.5366552738
Luxembourg,NA,NA,2573.00295845841
Macedonia (FYROM/North Macedonia),1991,NA,25424.2326059035
Madagascar (Malagasy),NA,NA,594635.660708632
Malawi,1964,NA,118930.525132109
Malaysia,1957,1963,132076.254145053
Malaysia,1963,1965,330391.341504424
Malaysia,1965,NA,329844.17926763
Maldives,1965,NA,33.7706651632716
Mali,1960,NA,1256388.82050143
Malta,1964,NA,291.828472696287
Mauritania,1960,1975,1041462.02813724
Mauritania,1975,1979,1139510.54996422
Mauritania,1979,NA,1041462.02813724
Mauritius,1968,NA,2139.39481276563
Mexico,NA,NA,1961161.30120686
Moldova,1991,NA,33589.7674073796
Mongolia,1921,NA,1558810.19460689
Montenegro,NA,1913,9932.76794423582
Montenegro,1913,1915,15879.8251979639
Montenegro,2006,NA,13985.6008942967
Morocco,NA,1958,374695.136835686
Morocco,1958,1975,403428.448180998
Morocco,1975,1979,575028.431766516
Morocco,1979,NA,673076.953593499
Mozambique,1975,NA,788886.484749455
Myanmar (Burma),1948,NA,668756.900519544
Namibia,1990,NA,826873.134853045
Nepal,NA,NA,147384.687850135
Netherlands,NA,NA,34801.6986332514
New Zealand,1907,NA,268101.034857588
Nicaragua,NA,NA,128586.608652505
Niger,1960,NA,1185891.80588567
Nigeria,1960,1961,866036.745807012
Nigeria,1961,NA,912219.273623346
Norway,1905,NA,318628.62116756
Oman,NA,NA,309660.179780988
Orange Free State,NA,1910,129891.717566991
Pakistan,1947,1949,934016.1207383
Pakistan,1949,1971,1015700.83197712
Pakistan,1971,NA,877537.094783043
Panama,1903,NA,74419.3274900195
Papua New Guinea,1975,NA,463677.19930269
Paraguay,NA,1938,294164.65295738
Paraguay,1938,NA,399759.583072474
Peru,NA,1909,1282864.23531432
Peru,1909,1922,1251241.40490556
Peru,1922,1942,1209236.49899031
Peru,1942,NA,1296118.39613374
Philippines,1946,NA,293183.93991296
Poland,1918,1919,129705.935068845
Poland,1919,1920,255625.815994623
Poland,1920,1921,283526.75610402
Poland,1921,1945,386902.807302176
Poland,1945,NA,310474.127619385
Portugal,NA,NA,91783.447742239
Qatar,1971,NA,11111.7629595083
Rumania,NA,1913,128205.126580991
Rumania,1913,1918,135877.331430671
Rumania,1918,1919,128205.126580991
Rumania,1919,1920,148588.81906491
Rumania,1920,1940,295360.793178762
Rumania,1940,NA,236806.396419932
Russia (Soviet Union),NA,1905,21908168.6343277
Russia (Soviet Union),1905,1914,21876158.1409667
Russia (Soviet Union),1914,1917,22040593.9017971
Russia (Soviet Union),1917,1918,21654307.9352828
Russia (Soviet Union),1918,1920,21300455.7395264
Russia (Soviet Union),1920,1921,21551628.6881415
Russia (Soviet Union),1921,1940,21448252.6369433
Russia (Soviet Union),1940,1945,21722751.6029151
Russia (Soviet Union),1945,1991,21959353.9056619
Russia (Soviet Union),1991,2014,16789262.1174062
Russia (Soviet Union),2014,NA,16815039.1148654
Rwanda,1962,NA,25250.4277247102
Saudi Arabia,1932,2000,1958840.64188518
Saudi Arabia,2000,NA,1928896.72010129
Senegal,1960,NA,196714.014947168
Serbia,NA,1913,52431.4375481092
Serbia,1913,1915,90480.0598714095
Serbia,2006,2008,87745.3703366475
Serbia,2008,NA,77026.1117602365
Sierra Leone,1961,NA,72783.1072989976
Singapore,1965,NA,547.162236794856
Slovakia,1993,NA,48776.3836567033
Slovenia,1992,NA,20375.7763221332
Solomon Islands,1978,NA,26973.0688874207
Somalia,1960,NA,638975.45206617
South Africa,1910,NA,1221851.49237202
South Sudan,2011,NA,629999.263404967
Spain,NA,NA,505568.104996159
Sri Lanka (Ceylon),1948,NA,66263.8820909618
Sudan,1956,2011,2496011.66006353
