polity_name,polity_code
Germany (1938-1945),GER-1938-1945
Germany (to 1919),GER-1800-1919
"Germany, West Berlin",GWB-1800-1982
Germany/Zollverein,GER-1800-2025
Ghana,GHA-1800-2025
Gibraltar,GIB-1800-2025
Gilbert and Ellice Island,GIL-1892-2025
Gold Coast,GOL-1843-2025
Greece,GRC-1800-2025
Greece (1913-1919),GRE-1913-1919
Greece (to 1913),GRE-1800-1913
Greenland,GRL-1800-2025
Grenada,GRD-1800-1833
Guadeloupe,GLP-1800-2025
Guam,GUM-1800-2025
Guatemala,GTM-1821-2025
Guernsey,GGY-2005-2025
Guinea,GIN-1800-2025
Guinea-Bissau,GNB-1879-2025
Guyana,GUY-1800-2025
Haiti,HTI-1800-2025
Heard Island and McDonald Islands,HMD-1800-2025
Herat,HER-1800-1862
High-income economies,F9010-1800-2025
Holy See,VAT-1800-2025
Honduras,HND-1800-2025
Hong Kong,HKG-1841-2025
Hungary,HUN-1800-2025
Hungary (1918-1919),HUN-1918-1919
Hungary (1919-1920),HUN-1919-1920
Hungary (1920-1938),HUN-1920-1938
Hungary (1938-1947),HUN-1938-1947
Iceland,ISL-1800-2025
India,IND-1800-2025
India (1947-1949),IND-1947-1949
Indonesia,IDN-1800-2025
Indonesia (1945-1949),IND-1945-1949
Indonesia (1949-1969),IND-1949-1969
Indonesia (1969-1976),IND-1969-1976
Indonesia (1976-2002),IND-1976-2002
International Centres (FAO) (2.5.1.a),F5823-1800-2025
Ionian islands,ION-1815-1862
Iran,IRN-1800-2025
Iraq,IRQ-1921-2025
Ireland,IRL-1921-2025
Isle of Man,IMN-1800-2025
Israel,ISR-1800-2025
Israel (1948-1967),ISR-1948-1967
Israel (1967-1979),ISR-1967-1979
Italian Libia Cyrenaica (Lybia),ITA-1911-2025
Italian Somaliland,ITA-1908-2025
Italy,ITA-1861-2025
Italy (to 1919),ITA-1800-1919
Jamaica,JAM-1800-2025
Japan,JPN-1800-2025
Jersey,JEY-2005-2025
Johnston Island,JTN-1800-1982
Jordan,JOR-1918-2025
Kazakhstan,KAZ-1991-2025
Kenya,KEN-1800-2025
Khiva,KHI-1800-1873
Kiautchou,KIA-1898-1922
Kingdom Two sicilies,KIN-1800-1860
Kiribati,KIR-1800-2025
Kokand,KOK-1800-1883
Korea (old),OKO-1800-2025
Korea (old) (to 1910),KOR-1800-1910
Kosovo,KOS-2008-2025
Kuwait,KWT-1800-2025
Kwang-Chou-Wan,KCW-1898-2025
Kwantung (Port Arthur),KWA-1898-2025
Kyrgyzstan,KGZ-1991-2025
Land Locked Developing Countries (LLDCs),F5802-1800-2025
Laos,LAO-1800-2025
Latin America,F348-1800-2025
Latin America and the Caribbean,F5205-1800-2025
Latvia,LVA-1918-2025
Latvia (1918-1940),LAT-1918-1940
Least Developed Countries (LDCs),F5801-1800-2025
Lebanon,LBN-1800-2025
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",LEE-1800-2025
Lesotho,LSO-1800-2025
Liberia,LBR-1847-2025
Libya,LBY-1800-2025
Liechtenstein,LIE-1800-2025
Lithuania,LTU-1918-2025
Lithuania (1918-1920),LIT-1918-1920
Lithuania (1920-1940),LIT-1920-1940
Low Income Food Deficit Countries (LIFDCs),F5815-1800-2025
Low-income economies,F5858-1800-2025
Lower Quebec,LOW-1800-1866
Lower-middle-income economies,F5859-1800-2025
Luxembourg,LUX-2000-2025
Macao,MAC-1800-2025
Madagascar,MDG-1882-2025
Malawi,MWI-1800-2025
Malaysia,MYS-1800-2025
Malaysia (1957-1963),MAL-1957-1963
Malaysia (1963-1965),MAL-1963-1965
Maldives,MDV-1800-2025
Mali,MLI-1800-2025
Malta,MLT-1800-2025
Manchukuo,MAN-1932-2025
Mariana Island,MRI-1800-2025
Marquesas Island,MRQ-1844-1903
Marshall Islands,MHL-1874-2025
Martinique,MTQ-1800-2025
Mauritania,MRT-1800-2025
Mauritania (1960-1975),MAU-1960-1975
Mauritania (1975-1979),MAU-1975-1979
Mauritius,MUS-1800-2025
Mayotte,MYT-2002-2025
Mayotte and Noissi-be,MAY-1843-1914
Melanesia,F5502-1800-2025
Mexico,MEX-1800-2025
Micronesia,FSM-1991-2025
Micronesia (Oceania region),F5503-1800-2025
Middle Africa,F5102-1800-2025
Midway Islands,MID-1859-1982
Moldova,MDA-1991-2025
Monaco,MCO-1800-2025
Mongolia,MNG-1911-2025
Montenegro,MNE-1878-1918
Montenegro (1913-1915),MON-1913-1915
Montenegro (to 1913),MON-1800-1913
Montserrat,MSR-1800-2025
Morocco,MAR-1800-2025
Morocco (1958-1975),MOR-1958-1975
Morocco (1975-1979),MOR-1975-1979
Morocco (French),MOR-1911-2025
Morocco (to 1958),MOR-1800-1958
Mozambique,MOZ-1816-2025
Myanmar,MMR-1800-2025
Namibia,NAM-1884-2025
Nauru,NRU-1888-2025
Nepal,NPL-1800-2025
Net Food Importing Developing Countries (NFIDCs),F5817-1800-2025
Netherlands,NLD-1800-2025
Netherlands (all),NET-1800-2025
Netherlands Antilles,ANT-1986-2010
Netherlands Antilles (original),NET-1800-1986
Neutral Zone,NEU-1800-1982
New Brunswick,NEW-1800-1866
New Caledonia,NCL-1853-2025
New Guinea,NEW-1884-2025
New Hebrides,NEW-1906-2025
New Zealand,NZL-1800-2025
Newfoundland,NEW-1816-2025
Nicaragua,NIC-1800-2025
Niger,NER-1800-2025
Nigeria,NGA-1861-2025
Nigeria (1960-1961),NIG-1960-1961
Niue,NIU-1900-2025
Non-Annex I countries,F5849-1800-2025
Norfolk Island,NFK-1800-1901
North Korea,PRK-1800-2025
North Macedonia,MKD-1992-2025
North Vietnam,VIE-1975-2025
