chaudhary_country_num,chaudhary_country,land_use_type,intensity,cf_mean,cf_lo,cf_hi
181,PAKISTAN,crop,intense,5.4917902497025953e-14,3.8983351008615955e-14,7.45562297208019e-14
182,POLAND,pasture,minimal,1.7812260519139165e-14,1.2559829372248593e-14,2.377346161560084e-14
182,POLAND,pasture,light,1.9192894749516522e-14,1.4109869966835668e-14,2.494886817992129e-14
182,POLAND,pasture,intense,2.043693635466561e-14,1.465154073926316e-14,2.6535684331855166e-14
182,POLAND,crop,minimal,1.5636183042586425e-14,1.004489593621287e-14,2.195379377147185e-14
182,POLAND,crop,light,1.798620878326387e-14,1.1551684678929849e-14,2.4673984495370377e-14
182,POLAND,crop,intense,1.8392931623698505e-14,1.2496154444381643e-14,2.4715054603350073e-14
183,PANAMA,pasture,minimal,1.8188666056305524e-12,1.4976599254010928e-12,2.293215834887678e-12
183,PANAMA,pasture,light,1.8749246896472326e-12,1.5432547342231644e-12,2.3536843088808104e-12
183,PANAMA,pasture,intense,1.9254239435199135e-12,1.5591738297780379e-12,2.4353263781140767e-12
183,PANAMA,crop,minimal,2.5000626020876375e-12,2.0442677267446536e-12,3.1382568770149726e-12
183,PANAMA,crop,light,2.589374898768309e-12,2.0911914286322233e-12,3.263110301415901e-12
183,PANAMA,crop,intense,2.6049281984868755e-12,2.1205940359493666e-12,3.265020390267948e-12
184,PORTUGAL,pasture,minimal,3.344654042875998e-13,1.5932363707950705e-13,5.449175092741053e-13
184,PORTUGAL,pasture,light,4.04347953199818e-13,2.3708553597976896e-13,6.045936028511994e-13
184,PORTUGAL,pasture,intense,4.667586002404871e-13,2.6335831779709494e-13,6.814670561529736e-13
184,PORTUGAL,crop,minimal,3.7773418880591466e-13,2.0765833798323836e-13,5.793676201420083e-13
184,PORTUGAL,crop,light,4.584303868464287e-13,2.614648792053259e-13,6.693076731969049e-13
184,PORTUGAL,crop,intense,4.720397222192415e-13,2.9418567907746426e-13,6.706359312457158e-13
185,PAPUA_NEW_GUINEA,pasture,minimal,1.0462293004573968e-12,9.165529984197503e-13,1.2070474982706353e-12
185,PAPUA_NEW_GUINEA,pasture,light,1.3175130123828237e-12,1.1388045626521067e-12,1.5424316212349017e-12
